loan_id,borrower_id,loan_amount,funded_amount,term_months,interest_rate,installment,grade,sub_grade,purpose,issue_date,initial_list_status,application_type
55,1047,40000.0,39268.27,60,6.63,770.72,A,A1,debt_consolidation,2021-11-04,f,Joint App
56,10155,12000.0,11740.78,36,6.42,359.42,A,A5,vacation,2021-05-07,w,Individual
57,9643,10000.0,9782.37,36,6.17,298.35,A,A1,medical,2023-09-10,f,Joint App
58,6414,5000.0,4875.96,36,7.4,151.45,A,A3,small_business,2023-02-10,w,Joint App
59,14883,18000.0,17632.42,60,7.61,354.24,A,A3,educational,2022-07-04,w,Individual
60,7158,5000.0,4867.34,36,16.61,172.59,D,D1,debt_consolidation,2021-10-13,f,Individual
61,7510,10000.0,9939.65,60,16.68,245.32,D,D5,car,2020-07-18,f,Joint App
62,10782,20000.0,19712.47,36,11.51,650.13,B,B3,home_improvement,2022-11-30,w,Joint App
63,13537,30000.0,29920.2,36,14.64,1031.93,C,C4,medical,2021-09-23,w,Individual
64,4599,25000.0,24395.3,60,5.51,466.09,A,A2,vacation,2021-07-04,f,Individual
65,4350,15000.0,14621.26,60,10.88,317.03,B,B5,medical,2020-05-18,w,Individual
66,13681,12000.0,11873.21,36,27.83,490.03,F,F4,educational,2023-11-08,w,Joint App
67,9818,20000.0,19805.74,36,8.31,623.48,B,B3,car,2021-04-25,f,Joint App
68,1954,15000.0,14788.51,36,13.9,504.72,C,C1,vacation,2020-05-01,f,Joint App
69,7837,7500.0,7341.19,36,7.24,227.48,A,A2,major_purchase,2022-12-05,f,Joint App
70,6399,10000.0,9889.54,36,15.99,347.64,C,C1,vacation,2021-01-07,w,Individual
71,9897,30000.0,29987.39,60,12.17,669.63,C,C5,small_business,2022-12-16,f,Joint App
72,13194,25000.0,24743.55,60,9.53,520.02,B,B3,small_business,2020-12-11,w,Individual
73,2367,7500.0,7329.3,36,12.38,244.77,C,C4,small_business,2024-02-25,w,Individual
74,1364,25000.0,24843.12,60,18.75,641.03,D,D1,educational,2022-04-30,f,Individual
75,11762,15000.0,14856.98,36,19.41,547.68,D,D1,home_improvement,2020-05-27,f,Joint App
76,14121,25000.0,24944.6,36,10.04,805.36,B,B2,educational,2021-10-18,w,Individual
77,530,12000.0,11769.91,36,12.79,395.39,C,C5,credit_card,2021-06-28,w,Joint App
78,10886,40000.0,39212.45,60,19.04,1018.06,D,D5,wedding,2022-09-12,w,Joint App
79,4864,20000.0,19585.9,36,15.45,683.28,C,C2,major_purchase,2022-07-08,w,Individual
80,11072,18000.0,17897.79,36,7.86,559.7,A,A4,debt_consolidation,2023-11-28,f,Individual
81,1947,10000.0,9766.6,36,8.77,309.53,B,B4,other,2020-06-03,w,Joint App
82,7922,35000.0,34192.54,36,7.47,1063.13,A,A2,medical,2020-04-12,w,Joint App
83,3559,15000.0,14883.9,60,9.94,315.8,B,B1,home_improvement,2022-12-17,w,Individual
84,1035,12000.0,11687.11,60,24.57,340.09,F,F5,major_purchase,2023-06-23,w,Joint App
85,4244,18000.0,17650.34,36,18.82,645.39,D,D5,major_purchase,2021-03-02,w,Individual
86,128,35000.0,33951.28,36,22.93,1313.01,E,E5,small_business,2021-10-21,f,Joint App
87,12535,10000.0,9979.99,36,8.01,312.78,B,B1,moving,2022-01-26,f,Joint App
88,5967,20000.0,19925.15,36,10.32,645.93,B,B3,home_improvement,2022-04-22,w,Joint App
89,12514,18000.0,17570.85,36,30.9,754.6,G,G1,debt_consolidation,2022-05-20,f,Joint App
90,10830,25000.0,24739.14,60,22.91,696.13,E,E4,vacation,2021-07-10,f,Joint App
91,2474,25000.0,24682.94,36,7.03,762.48,A,A2,major_purchase,2022-10-07,f,Individual
92,2547,12000.0,11923.47,60,19.65,313.58,D,D2,other,2022-04-24,w,Joint App
93,11856,15000.0,14938.35,36,7.56,465.09,A,A5,wedding,2020-06-28,w,Individual
94,10199,10000.0,9828.56,36,14.05,336.16,C,C2,credit_card,2023-10-06,f,Individual
95,14283,15000.0,14640.13,60,20.51,392.04,E,E3,credit_card,2022-11-08,w,Joint App
96,4436,10000.0,9845.3,60,9.32,205.9,B,B3,small_business,2021-07-23,f,Individual
97,9730,10000.0,9815.48,36,11.32,322.84,B,B3,vacation,2020-02-11,w,Joint App
98,3442,15000.0,14792.29,60,13.61,341.21,C,C3,debt_consolidation,2020-04-28,w,Joint App
99,12583,12000.0,11881.7,36,6.54,364.38,A,A3,wedding,2020-03-25,w,Joint App
100,14136,10000.0,9911.91,36,19.05,363.58,D,D4,other,2024-01-09,w,Individual
101,11603,7500.0,7381.02,36,9.87,237.71,B,B3,educational,2020-10-03,f,Individual
102,12637,25000.0,24315.19,36,16.82,864.73,D,D4,small_business,2021-11-26,w,Individual
103,4595,10000.0,9859.23,60,24.68,287.53,F,F3,small_business,2021-09-16,w,Joint App
104,2261,25000.0,24639.43,36,20.35,920.09,E,E2,other,2020-06-22,w,Joint App
105,12050,5000.0,4869.78,60,13.1,111.05,C,C2,car,2022-12-29,f,Individual
106,3569,20000.0,19793.46,36,10.68,645.02,B,B4,home_improvement,2020-10-17,f,Joint App
107,12122,7500.0,7482.05,36,22.61,288.11,E,E4,debt_consolidation,2022-05-23,w,Individual
108,13554,15000.0,14937.51,36,6.44,457.41,A,A5,moving,2023-08-16,w,Joint App
109,13081,5000.0,4989.92,36,27.77,205.78,F,F4,home_improvement,2022-12-25,w,Joint App
110,12127,25000.0,24933.31,36,5.37,751.42,A,A2,major_purchase,2023-10-18,w,Joint App
111,6246,12000.0,11906.03,36,14.92,412.26,C,C5,debt_consolidation,2024-03-02,f,Individual
112,10850,10000.0,9837.77,60,7.86,198.82,A,A5,vacation,2020-07-21,f,Individual
113,474,30000.0,29388.38,36,13.67,999.72,C,C3,educational,2022-05-26,f,Joint App
114,6324,25000.0,24317.38,36,7.51,756.53,A,A3,small_business,2022-06-15,w,Joint App
115,14197,18000.0,17899.57,36,21.5,678.97,E,E5,moving,2024-04-20,w,Individual
116,12087,25000.0,24786.67,60,16.07,603.69,D,D4,vacation,2021-02-16,w,Individual
117,14297,12000.0,11642.93,36,20.2,433.88,E,E1,small_business,2021-08-11,f,Individual
118,4809,18000.0,17900.39,60,12.97,407.01,C,C3,wedding,2023-06-04,f,Joint App
119,2440,18000.0,17508.05,36,11.01,573.27,B,B2,vacation,2024-05-23,f,Individual
120,931,12000.0,11751.84,60,13.75,271.92,C,C1,major_purchase,2023-09-19,f,Joint App
121,9621,5000.0,4945.61,60,10.4,106.06,B,B3,educational,2023-04-02,f,Individual
122,4327,20000.0,19646.09,36,7.85,614.28,A,A5,debt_consolidation,2021-03-05,f,Joint App
123,14675,12000.0,11950.62,36,9.56,383.15,B,B1,educational,2023-04-25,w,Joint App
124,9494,12000.0,11724.97,60,14.19,273.98,C,C2,wedding,2023-09-14,w,Joint App
125,13437,15000.0,14842.78,60,8.8,306.67,B,B5,educational,2022-02-02,w,Joint App
126,7459,12000.0,11964.78,36,7.75,373.55,A,A2,credit_card,2021-12-19,w,Joint App
127,5364,5000.0,4970.14,36,23.73,194.29,E,E3,wedding,2020-04-18,f,Individual
128,14719,7500.0,7496.61,36,14.49,258.0,C,C4,home_improvement,2023-04-22,w,Individual
129,1393,30000.0,29574.7,36,17.69,1064.6,D,D2,small_business,2022-12-11,f,Joint App
130,5999,10000.0,9714.86,36,7.79,303.49,A,A4,home_improvement,2023-07-05,w,Joint App
131,13635,10000.0,9829.04,60,11.75,217.4,B,B2,small_business,2024-04-03,f,Joint App
132,9729,12000.0,11948.31,36,7.14,369.69,A,A1,other,2023-06-30,w,Individual
133,14561,20000.0,19847.11,36,6.65,609.65,A,A2,credit_card,2021-03-15,w,Individual
134,2708,18000.0,17856.0,60,30.62,584.52,G,G2,vacation,2022-02-25,f,Joint App
135,9029,15000.0,14660.73,36,13.71,499.01,C,C4,debt_consolidation,2020-04-13,w,Individual
136,12418,10000.0,9985.15,60,17.34,249.99,D,D1,small_business,2022-12-09,w,Joint App
137,13532,25000.0,24665.01,36,17.88,890.22,D,D2,educational,2020-04-02,f,Joint App
138,7408,12000.0,11776.44,60,6.82,232.19,A,A2,credit_card,2020-10-17,f,Joint App
139,6680,25000.0,24766.33,60,9.6,521.35,B,B3,educational,2021-02-01,f,Joint App
140,11809,40000.0,39613.44,36,6.62,1216.28,A,A2,credit_card,2020-06-05,f,Individual
141,4409,10000.0,9983.37,60,6.9,197.21,A,A5,educational,2021-01-19,f,Individual
142,10973,15000.0,14907.42,36,6.66,457.98,A,A2,vacation,2020-08-08,f,Joint App
143,4024,15000.0,14611.22,36,11.56,482.24,B,B2,home_improvement,2020-01-31,w,Individual
144,4951,12000.0,11714.65,36,11.27,385.02,B,B1,moving,2024-03-16,w,Individual
145,78,12000.0,11897.3,36,22.39,456.77,E,E5,car,2021-12-25,f,Joint App
146,14958,10000.0,9729.14,36,14.14,333.18,C,C5,major_purchase,2024-04-28,w,Individual
147,9323,10000.0,9797.71,36,15.37,341.42,C,C2,small_business,2022-01-12,w,Joint App
148,13082,25000.0,24959.6,60,5.93,481.73,A,A3,medical,2020-09-07,w,Joint App
149,2547,18000.0,17610.3,36,10.68,573.87,B,B5,home_improvement,2021-04-01,f,Individual
150,8665,12000.0,11790.59,36,6.52,361.48,A,A5,educational,2022-08-16,f,Joint App
151,9415,5000.0,4990.18,36,27.38,204.74,F,F4,credit_card,2021-09-13,f,Individual
152,1131,12000.0,11932.36,60,7.66,240.01,A,A2,car,2020-08-11,w,Joint App
153,10906,30000.0,29856.22,36,6.71,917.92,A,A4,other,2022-06-22,w,Individual
154,7815,40000.0,39763.19,36,16.54,1408.58,D,D5,wedding,2023-03-11,w,Individual
155,13577,12000.0,11898.7,36,13.77,405.34,C,C3,credit_card,2023-01-15,w,Individual
156,802,20000.0,19873.28,36,5.95,604.13,A,A5,wedding,2022-06-30,f,Individual
157,4110,10000.0,9804.14,60,18.61,252.23,D,D5,vacation,2020-01-06,w,Individual
158,1773,5000.0,4868.33,36,11.78,161.19,B,B3,home_improvement,2024-04-18,w,Joint App
159,7540,10000.0,9990.88,36,13.95,341.22,C,C2,home_improvement,2023-12-10,f,Individual
160,4964,10000.0,9880.36,36,11.69,326.71,B,B1,moving,2020-10-29,f,Joint App
161,13882,15000.0,14553.07,60,8.51,298.65,B,B1,vacation,2024-01-16,w,Individual
162,11476,25000.0,24834.28,36,13.51,842.88,C,C1,medical,2020-05-01,f,Joint App
163,8478,10000.0,9762.95,36,18.24,354.13,D,D4,credit_card,2021-12-17,f,Individual
164,6024,10000.0,9968.31,36,23.41,388.0,E,E4,moving,2021-11-15,f,Individual
165,9987,18000.0,17902.26,60,13.42,411.19,C,C3,major_purchase,2020-01-02,f,Joint App
166,4961,5000.0,4993.77,60,26.55,151.15,F,F2,debt_consolidation,2023-01-08,w,Joint App
167,1636,35000.0,34160.15,36,10.1,1103.86,B,B4,medical,2020-02-24,w,Joint App
168,7490,15000.0,14730.17,36,18.08,533.12,D,D1,educational,2023-06-14,f,Individual
169,9850,15000.0,14987.95,36,29.44,631.67,G,G5,vacation,2023-07-18,f,Individual
170,13939,12000.0,11922.96,36,15.63,417.0,C,C2,major_purchase,2020-03-08,f,Joint App
171,4217,20000.0,19690.7,36,6.66,604.94,A,A4,wedding,2021-04-08,f,Joint App
172,6798,15000.0,14953.33,60,21.19,406.14,E,E5,medical,2022-10-05,w,Individual
173,8400,15000.0,14653.9,60,6.16,284.39,A,A2,car,2020-09-30,f,Joint App
174,791,10000.0,9983.17,36,8.54,315.33,B,B1,car,2021-12-18,f,Individual
175,12540,35000.0,34132.0,60,14.47,802.53,C,C2,wedding,2020-02-04,f,Individual
176,5485,15000.0,14713.02,36,13.53,499.5,C,C4,small_business,2024-01-12,w,Individual
177,4502,15000.0,14783.95,36,17.58,531.37,D,D3,wedding,2020-09-26,w,Individual
178,89,15000.0,14562.93,36,13.38,493.35,C,C4,medical,2022-02-22,f,Individual
179,5249,18000.0,17817.93,60,20.42,476.24,E,E2,small_business,2024-03-31,f,Individual
180,5117,7500.0,7451.43,36,9.51,238.73,B,B4,major_purchase,2021-06-28,w,Joint App
181,3461,10000.0,9981.38,36,14.76,344.84,C,C5,other,2022-08-12,f,Joint App
182,4586,10000.0,9866.05,36,19.68,365.05,D,D3,credit_card,2021-06-28,f,Individual
183,8049,18000.0,17977.63,36,13.59,610.86,C,C1,medical,2024-03-22,f,Joint App
184,2301,15000.0,14980.0,60,22.89,421.35,E,E5,wedding,2023-06-10,w,Individual
185,12319,20000.0,19507.44,36,5.89,592.48,A,A1,major_purchase,2023-12-09,f,Joint App
186,10059,15000.0,14986.39,60,13.07,341.52,C,C5,home_improvement,2023-09-05,f,Joint App
187,2335,5000.0,4878.42,36,12.9,164.14,C,C1,credit_card,2020-03-07,f,Individual
188,8875,18000.0,17976.83,36,19.71,665.43,D,D3,wedding,2020-02-20,w,Individual
189,4660,15000.0,14646.1,36,10.19,473.9,B,B4,credit_card,2022-05-02,f,Individual
190,859,18000.0,17566.39,36,9.25,560.65,B,B5,moving,2023-03-23,w,Individual
191,14102,15000.0,14695.08,60,12.9,333.61,C,C3,vacation,2020-04-16,f,Individual
192,11542,15000.0,14952.77,36,6.24,456.52,A,A2,small_business,2023-03-05,f,Joint App
193,11253,10000.0,9922.61,36,18.41,360.77,D,D3,credit_card,2020-02-27,w,Individual
194,5796,20000.0,19919.51,36,24.02,781.71,F,F2,credit_card,2022-06-23,f,Individual
195,6200,20000.0,19807.55,60,24.89,580.1,F,F4,major_purchase,2023-05-16,f,Joint App
196,10643,12000.0,11993.81,36,7.43,372.7,A,A1,medical,2022-08-12,w,Individual
197,11472,10000.0,9935.51,36,7.41,308.65,A,A3,other,2023-05-26,w,Individual
198,471,15000.0,14945.01,60,12.56,336.69,C,C3,credit_card,2024-01-08,f,Joint App
199,14758,15000.0,14793.51,36,20.22,551.44,E,E4,moving,2021-10-07,f,Joint App
200,8615,15000.0,14603.82,36,5.58,441.5,A,A5,major_purchase,2021-01-31,f,Joint App
201,5129,15000.0,14737.9,36,6.43,451.23,A,A3,car,2023-09-19,w,Joint App
202,13406,20000.0,19761.84,36,20.35,737.95,E,E5,medical,2021-07-31,w,Individual
203,10090,15000.0,14707.74,60,26.85,447.79,F,F3,moving,2021-08-16,f,Joint App
204,10158,15000.0,14675.35,36,12.11,488.2,C,C3,debt_consolidation,2024-03-26,w,Individual
205,3266,15000.0,14695.05,36,14.7,507.25,C,C1,medical,2022-12-16,w,Joint App
206,10818,10000.0,9923.79,60,9.73,209.54,B,B5,wedding,2022-04-18,f,Individual
207,3039,5000.0,4925.37,36,19.25,181.17,D,D2,credit_card,2023-08-07,f,Individual
208,7289,7500.0,7388.64,36,21.8,281.41,E,E4,home_improvement,2022-12-17,f,Joint App
209,14751,10000.0,9913.8,60,20.96,267.98,E,E4,other,2021-05-23,w,Individual
210,6665,25000.0,24376.61,60,30.64,798.28,G,G5,car,2022-10-06,w,Individual
211,6307,25000.0,24826.47,36,13.39,841.17,C,C5,credit_card,2023-12-23,f,Joint App
212,11368,7500.0,7421.06,36,11.85,245.95,B,B2,major_purchase,2024-01-15,w,Individual
213,6422,30000.0,29446.58,36,30.98,1265.91,G,G3,major_purchase,2022-03-01,f,Joint App
214,14098,30000.0,29762.66,36,21.93,1135.57,E,E5,moving,2022-01-06,w,Joint App
215,13347,25000.0,24310.11,36,23.27,944.46,E,E5,small_business,2024-03-31,w,Joint App
216,8182,18000.0,17892.79,36,9.07,569.57,B,B4,small_business,2020-04-12,w,Individual
217,14824,15000.0,14845.24,36,22.45,570.41,E,E4,other,2022-08-07,w,Joint App
218,6102,35000.0,34260.17,36,9.18,1092.34,B,B3,vacation,2022-10-16,f,Individual
219,8230,12000.0,11677.14,60,20.28,311.19,E,E1,vacation,2024-03-18,f,Joint App
220,9088,15000.0,14590.54,60,7.0,288.91,A,A5,car,2022-01-01,w,Individual
221,6706,12000.0,11748.82,36,30.21,500.11,G,G4,vacation,2021-10-03,w,Joint App
222,1727,25000.0,24847.63,36,8.93,789.34,B,B1,educational,2022-05-19,w,Individual
223,308,10000.0,9862.61,36,9.6,316.39,B,B5,credit_card,2024-03-18,f,Joint App
224,9619,25000.0,24615.48,36,7.84,769.54,A,A3,moving,2020-09-06,f,Joint App
225,177,15000.0,14879.27,36,12.77,499.69,C,C5,debt_consolidation,2020-12-18,w,Joint App
226,6696,25000.0,24953.38,60,11.28,546.04,B,B1,moving,2023-12-20,f,Joint App
227,31,18000.0,17526.22,36,24.78,694.8,F,F1,debt_consolidation,2023-12-23,f,Joint App
228,13199,15000.0,14911.13,60,16.4,365.79,D,D5,vacation,2022-02-09,f,Joint App
229,3337,20000.0,19546.09,60,24.05,562.87,F,F1,small_business,2021-05-27,w,Joint App
230,7757,20000.0,19768.13,60,30.76,648.82,G,G3,vacation,2023-10-18,f,Joint App
231,7400,20000.0,19519.86,36,10.08,630.58,B,B2,credit_card,2021-03-31,w,Individual
232,13800,25000.0,24886.02,60,12.63,561.53,C,C4,vacation,2020-09-14,f,Individual
233,7675,15000.0,14894.65,60,8.61,306.38,B,B2,home_improvement,2023-07-16,f,Individual
234,1137,18000.0,17937.67,60,11.79,397.11,B,B4,wedding,2023-09-24,f,Individual
235,13559,30000.0,29259.46,36,30.03,1242.59,G,G1,vacation,2021-02-27,f,Joint App
236,8526,30000.0,29158.73,36,14.21,999.55,C,C5,educational,2024-02-27,w,Joint App
237,7845,15000.0,14886.33,36,7.73,464.63,A,A5,wedding,2020-09-09,f,Individual
238,5586,15000.0,14637.22,60,15.41,351.38,C,C3,debt_consolidation,2023-12-14,w,Individual
239,3695,25000.0,24456.14,60,16.41,600.07,D,D4,moving,2022-04-14,w,Joint App
240,6101,12000.0,11813.18,60,16.69,291.62,D,D5,major_purchase,2022-11-08,w,Individual
241,2597,15000.0,14776.99,36,16.77,525.15,D,D4,moving,2021-01-16,f,Joint App
242,7818,10000.0,9984.48,36,9.06,317.78,B,B3,vacation,2022-08-14,w,Individual
243,12360,25000.0,24643.75,36,7.03,761.27,A,A3,major_purchase,2022-12-18,w,Individual
244,12125,12000.0,11764.28,36,11.36,387.16,B,B4,vacation,2024-01-11,f,Individual
245,9562,18000.0,17767.04,60,17.63,447.6,D,D4,moving,2022-11-25,w,Individual
246,5552,15000.0,14678.26,60,13.09,334.65,C,C3,moving,2023-10-18,f,Joint App
247,6945,20000.0,19551.0,60,11.08,425.87,B,B2,wedding,2020-12-29,f,Joint App
248,5515,15000.0,14890.02,60,10.33,318.79,B,B5,medical,2021-01-05,f,Individual
249,8399,5000.0,4945.89,36,13.99,169.01,C,C2,credit_card,2023-11-13,w,Individual
250,13689,30000.0,29623.08,36,15.5,1034.16,C,C4,educational,2023-05-19,f,Joint App
251,1492,10000.0,9988.48,60,23.25,283.02,E,E5,car,2020-06-03,f,Joint App
252,9573,7500.0,7360.29,36,5.84,223.38,A,A2,wedding,2021-02-06,w,Joint App
253,5540,12000.0,11942.21,36,24.47,471.48,F,F1,credit_card,2021-01-25,w,Joint App
254,1476,10000.0,9986.24,60,17.06,248.51,D,D3,home_improvement,2021-09-18,f,Individual
255,8322,12000.0,11661.11,36,13.54,395.95,C,C1,wedding,2021-10-10,f,Individual
256,1572,15000.0,14792.27,36,30.15,629.17,G,G5,medical,2021-09-08,w,Individual
257,11882,20000.0,19868.33,36,11.48,654.99,B,B5,car,2023-07-24,w,Individual
258,4601,20000.0,19477.53,60,8.52,399.8,B,B2,medical,2022-03-21,w,Joint App
259,13753,10000.0,9922.93,36,13.37,336.11,C,C2,vacation,2021-11-19,f,Joint App
260,10387,15000.0,14906.58,36,7.77,465.54,A,A4,medical,2020-02-28,f,Joint App
261,12440,20000.0,19796.63,36,14.79,684.22,C,C3,small_business,2023-08-15,f,Individual
262,5646,20000.0,19547.32,36,19.14,717.91,D,D4,medical,2022-02-18,w,Individual
263,1081,18000.0,17466.66,60,16.9,433.15,D,D5,major_purchase,2024-03-17,f,Joint App
264,8093,15000.0,14917.07,36,18.93,546.27,D,D3,educational,2023-05-30,f,Joint App
265,6352,25000.0,24677.8,36,25.42,986.68,F,F5,small_business,2022-12-25,f,Joint App
266,3402,20000.0,19560.69,36,6.71,601.39,A,A1,educational,2023-02-13,f,Individual
267,2317,10000.0,9943.04,36,18.35,361.21,D,D3,other,2023-06-15,f,Joint App
268,10155,10000.0,9733.94,36,29.7,411.62,G,G4,car,2020-10-30,f,Joint App
269,6531,15000.0,14665.57,36,16.78,521.26,D,D5,other,2020-03-23,w,Individual
270,787,40000.0,39535.89,36,21.52,1500.09,E,E1,other,2020-02-04,f,Joint App
271,12227,20000.0,19989.13,36,16.52,707.9,D,D4,credit_card,2020-01-31,f,Joint App
272,9879,15000.0,14557.15,36,17.45,522.27,D,D5,medical,2024-02-16,f,Individual
273,7127,7500.0,7436.7,36,7.18,230.24,A,A3,vacation,2022-04-27,f,Joint App
274,8578,15000.0,14721.63,36,10.09,475.65,B,B4,wedding,2023-10-08,f,Individual
275,367,7500.0,7357.28,60,29.91,237.63,G,G3,major_purchase,2023-07-07,f,Individual
276,762,25000.0,24658.73,36,12.05,819.61,C,C4,wedding,2023-03-15,f,Individual
277,4418,10000.0,9998.63,60,27.38,307.59,F,F4,other,2022-01-29,f,Joint App
278,2373,40000.0,39835.5,60,27.4,1225.93,F,F5,home_improvement,2022-07-22,w,Individual
279,12892,30000.0,29979.3,36,19.65,1108.8,D,D4,moving,2022-07-05,w,Joint App
280,2552,30000.0,29905.63,60,7.87,604.52,A,A1,home_improvement,2023-11-09,f,Individual
281,3999,15000.0,14880.04,36,22.7,573.68,E,E2,vacation,2023-03-02,f,Individual
282,14093,12000.0,11934.13,60,7.9,241.41,A,A1,small_business,2024-04-02,f,Joint App
283,5119,30000.0,29512.34,36,16.62,1046.62,D,D2,moving,2024-01-15,w,Joint App
284,13395,7500.0,7431.22,60,13.9,172.53,C,C1,major_purchase,2021-06-02,w,Joint App
285,5084,12000.0,11642.16,36,11.43,383.52,B,B1,moving,2023-04-20,f,Joint App
286,4356,15000.0,14623.42,36,18.74,534.12,D,D1,debt_consolidation,2020-11-22,w,Individual
287,9310,20000.0,19476.55,60,7.48,390.09,A,A4,major_purchase,2021-12-22,w,Joint App
288,5876,7500.0,7384.07,36,8.25,232.24,B,B5,credit_card,2024-03-06,w,Individual
289,2193,25000.0,24447.46,36,7.24,757.55,A,A3,medical,2020-11-26,w,Joint App
290,4572,25000.0,24689.14,60,11.16,538.77,B,B2,other,2020-03-04,f,Joint App
