borrower_id,state,zip_code,annual_income,employment_length,home_ownership,fico_range_low,fico_range_high,open_accounts,total_accounts,delinq_2yrs,pub_rec,revol_util,dti,member_since
73,FL,33075,38011.79,0,RENT,685,693,15,25,0,2,44.17,9.95,2021-01-25
74,NC,27368,66785.83,1,RENT,591,599,6,26,1,1,78.15,36.75,2019-07-29
75,VA,22004,67698.59,6,RENT,751,759,9,32,1,0,70.25,9.37,2018-05-30
76,NC,28276,56669.23,6,MORTGAGE,647,655,6,35,0,0,64.34,14.38,2022-07-07
77,MD,21832,38292.79,2,MORTGAGE,822,830,9,22,0,0,28.4,31.86,2022-04-05
78,OH,45232,40688.86,9,RENT,711,719,17,15,0,0,68.18,15.99,2021-05-16
79,WI,54449,54348.71,1,MORTGAGE,642,650,19,13,3,0,56.55,21.32,2023-10-02
80,TX,78342,38782.39,1,RENT,733,741,4,20,0,0,1.68,24.88,2020-01-16
81,PA,17015,101469.27,10,RENT,714,722,13,38,0,0,85.21,21.82,2021-11-29
82,WA,98176,18594.2,5,OWN,738,746,19,32,0,0,28.44,41.36,2019-10-18
83,GA,31800,60452.33,3,RENT,724,732,8,11,1,0,41.65,39.97,2023-12-14
84,FL,34891,103884.5,8,OWN,702,710,14,37,1,0,53.41,31.98,2021-02-01
85,PA,16721,37992.19,4,OWN,789,797,14,14,2,0,3.9,25.51,2022-05-03
86,PA,19102,27496.58,5,MORTGAGE,717,725,16,19,0,0,36.53,23.2,2022-02-14
87,VA,22328,28386.11,4,MORTGAGE,836,844,14,16,0,0,81.96,17.08,2021-06-25
88,MD,21120,43199.58,3,MORTGAGE,788,796,9,22,1,0,24.73,24.58,2020-03-03
89,IN,46579,19970.61,2,MORTGAGE,733,741,7,32,2,0,43.77,32.33,2021-08-19
90,PA,15845,50765.11,1,RENT,665,673,3,37,0,0,2.97,6.89,2020-10-25
91,TN,37256,89415.31,6,MORTGAGE,817,825,13,30,0,0,58.82,27.77,2022-01-14
92,MD,21337,39221.09,2,OWN,831,839,7,37,0,0,93.54,39.22,2022-02-23
93,PA,15456,81880.13,6,MORTGAGE,738,746,16,18,0,0,7.42,36.97,2019-12-25
94,IN,47213,16811.75,2,MORTGAGE,767,775,14,31,0,0,30.13,5.76,2018-03-22
95,NY,10454,49376.6,7,MORTGAGE,600,608,13,11,0,2,0.38,10.75,2018-11-04
96,WI,53200,144139.48,1,RENT,763,771,12,36,1,0,59.07,28.39,2022-07-01
97,GA,30444,23151.4,6,MORTGAGE,737,745,3,39,0,0,21.97,16.79,2021-12-17
98,IL,61543,50178.8,5,OWN,621,629,11,21,0,0,53.86,29.43,2020-01-17
99,TX,76155,40478.9,0,RENT,677,685,19,11,0,0,8.94,25.58,2021-01-26
100,MI,48577,38515.05,1,RENT,619,627,9,38,0,0,81.6,32.3,2020-04-10
101,WI,54533,13766.69,9,MORTGAGE,603,611,6,29,0,0,69.46,34.34,2020-10-22
102,NY,13221,125099.28,9,MORTGAGE,637,645,14,35,1,0,19.42,9.18,2022-07-03
103,TN,37474,153742.77,7,RENT,669,677,3,37,0,0,57.83,20.09,2021-08-29
104,MI,48633,32068.88,10,MORTGAGE,712,720,11,24,0,0,37.44,29.07,2021-12-09
105,NY,14871,63258.17,10,OWN,779,787,5,31,0,0,83.7,18.58,2023-02-09
106,MI,48916,80710.11,5,MORTGAGE,723,731,3,24,0,0,45.74,12.43,2018-08-04
107,NC,28062,15753.73,2,RENT,580,588,14,14,1,0,85.66,9.43,2022-03-19
108,VA,22411,25168.21,1,MORTGAGE,581,589,9,14,0,0,9.21,43.12,2021-05-27
109,MI,48635,35079.17,2,MORTGAGE,648,656,13,23,1,0,69.84,11.61,2022-12-15
110,VA,22200,19508.68,8,RENT,720,728,3,33,0,1,11.46,21.19,2021-03-14
111,IL,62161,51121.06,2,RENT,617,625,4,29,0,0,67.47,38.86,2019-11-25
112,CA,95295,116050.54,2,OWN,638,646,8,17,0,1,84.36,26.23,2020-09-16
113,NC,28608,151646.12,5,OWN,635,643,11,34,0,0,90.46,26.19,2019-01-30
114,WA,99099,131720.35,5,MORTGAGE,699,707,19,16,0,0,11.3,11.54,2019-03-09
115,IN,46526,65805.59,4,OWN,596,604,8,25,0,2,77.74,23.6,2022-01-20
116,WI,53455,17429.54,10,RENT,671,679,14,20,0,0,75.47,11.12,2020-10-04
117,IL,60466,62618.85,10,MORTGAGE,657,665,15,25,0,0,94.37,13.48,2018-05-31
118,WI,53382,31403.82,1,MORTGAGE,729,737,10,14,0,0,87.58,23.33,2022-04-05
119,NC,28047,95111.72,6,OWN,728,736,15,12,2,0,16.84,31.4,2018-10-06
120,VA,23470,61367.27,4,MORTGAGE,670,678,7,36,0,2,50.48,6.61,2022-09-13
121,NY,12153,119081.65,7,MORTGAGE,661,669,8,21,0,0,48.35,19.65,2019-07-25
122,MI,48830,80358.4,3,RENT,608,616,14,22,0,0,8.71,30.88,2020-11-10
123,TX,77275,77168.68,3,RENT,659,667,14,34,1,0,23.43,5.79,2022-02-06
124,TN,37303,50579.62,1,MORTGAGE,661,669,7,18,0,1,19.24,16.01,2019-12-29
125,AZ,85513,39392.75,2,MORTGAGE,702,710,14,19,0,1,37.97,29.4,2020-03-29
126,OH,43269,65584.63,9,MORTGAGE,674,682,19,28,0,1,81.13,21.0,2022-10-11
127,MO,65267,74543.63,3,MORTGAGE,741,749,12,34,2,1,80.12,30.29,2023-01-02
128,GA,30267,23270.61,8,RENT,580,588,4,24,0,0,61.26,35.59,2020-05-16
129,FL,32915,64012.66,2,MORTGAGE,725,733,7,29,1,0,0.71,21.4,2023-09-12
130,PA,18444,64409.36,1,MORTGAGE,740,748,14,33,0,0,94.87,38.57,2023-05-30
131,VA,23908,108164.44,10,OWN,841,849,5,18,0,0,75.12,29.79,2018-06-17
132,GA,30175,52377.76,1,RENT,745,753,15,34,0,0,52.46,31.54,2018-10-21
133,TN,37692,54623.44,10,RENT,694,702,14,10,0,0,92.78,44.68,2023-04-06
134,IL,60308,96573.49,1,RENT,731,739,9,30,0,0,79.05,21.99,2021-10-31
135,WI,54742,81156.29,8,RENT,654,662,10,15,1,0,83.51,34.95,2023-11-21
136,NC,28620,39467.69,1,OWN,795,803,11,11,0,0,73.59,26.35,2019-10-05
137,NJ,08905,141889.62,1,OWN,780,788,14,11,1,0,77.82,11.72,2021-05-16
138,NJ,07637,44401.89,2,RENT,832,840,8,32,0,0,44.14,34.51,2019-07-18
139,CA,94857,35386.92,1,MORTGAGE,728,736,6,32,0,0,78.2,35.06,2020-05-06
140,NY,14635,87342.68,6,MORTGAGE,718,726,6,23,0,0,92.68,10.49,2021-10-08
141,VA,24489,24046.81,3,RENT,609,617,6,17,0,0,78.71,31.24,2022-06-13
142,MA,01674,38290.24,6,MORTGAGE,678,686,9,24,0,0,72.0,6.98,2022-06-22
143,WI,54096,53593.13,5,RENT,636,644,12,14,0,0,6.28,15.83,2021-04-16
144,WI,54501,21464.75,6,RENT,777,785,16,15,1,0,45.23,40.78,2018-02-01
145,IL,61846,156416.26,2,OWN,610,618,4,19,0,0,19.66,28.43,2023-01-01
146,VA,23828,63078.55,9,OWN,706,714,6,19,0,0,33.95,10.39,2019-11-28
147,OH,45102,36554.28,10,RENT,743,751,13,30,0,0,58.86,40.53,2018-01-14
148,PA,19187,108550.79,8,RENT,756,764,14,25,3,0,38.12,35.17,2021-11-20
149,TX,77691,68577.81,2,MORTGAGE,730,738,19,34,0,0,92.23,37.25,2021-09-04
150,MI,49346,59647.4,1,RENT,745,753,14,19,0,0,82.28,28.39,2019-02-27
151,GA,31939,35646.78,6,RENT,703,711,9,21,2,0,31.28,22.26,2018-03-07
152,AZ,86229,121792.69,6,OWN,713,721,8,26,0,0,35.97,23.47,2019-03-22
153,MI,48477,89286.16,2,MORTGAGE,776,784,5,33,1,0,78.55,20.56,2021-11-14
154,MO,63160,72413.6,1,OWN,612,620,14,38,0,1,55.0,31.76,2021-12-24
155,VA,22030,129578.5,0,RENT,808,816,3,20,1,0,44.25,27.51,2021-08-18
156,TX,76874,56969.3,9,MORTGAGE,821,829,19,21,0,0,15.26,18.23,2021-10-29
157,WA,99188,57215.74,10,OWN,630,638,11,33,0,0,83.42,43.62,2020-08-21
158,AZ,85427,10639.18,4,OWN,741,749,7,26,3,0,40.37,37.44,2021-11-02
159,PA,17073,24149.03,8,MORTGAGE,719,727,10,12,0,0,2.28,36.79,2023-07-19
160,AZ,85445,20109.88,2,RENT,694,702,13,30,0,0,3.81,32.61,2022-04-13
161,MA,02440,18895.17,2,OWN,714,722,11,24,0,1,38.47,10.58,2021-09-02
162,VA,22550,149596.49,6,MORTGAGE,636,644,19,36,0,0,40.95,8.23,2020-05-28
163,VA,22767,26385.29,0,RENT,766,774,12,16,0,1,4.29,43.35,2018-08-09
164,FL,33095,22581.15,1,MORTGAGE,617,625,3,35,0,0,87.0,9.7,2022-01-24
165,GA,30902,39078.05,10,RENT,707,715,9,18,0,0,91.62,7.52,2022-10-13
166,IL,61162,103505.6,8,RENT,777,785,5,39,1,1,12.06,33.31,2018-12-16
167,AZ,85066,54521.85,10,RENT,635,643,12,23,0,0,36.7,40.96,2019-05-03
168,MO,63351,51870.72,1,MORTGAGE,737,745,12,33,0,1,58.16,8.59,2020-10-25
169,VA,22324,15950.88,2,MORTGAGE,777,785,5,21,2,1,22.45,44.03,2019-01-30
170,TX,77005,43371.52,2,MORTGAGE,798,806,5,27,2,0,59.47,7.53,2020-11-10
171,IN,46863,186808.46,10,OWN,731,739,16,13,0,0,41.59,39.57,2021-06-10
172,WA,98357,49851.97,5,RENT,582,590,10,15,0,0,63.92,35.83,2019-08-22
173,IN,46514,72605.48,10,RENT,710,718,6,32,0,0,49.36,11.75,2020-02-07
174,AZ,85100,37646.96,4,RENT,691,699,11,24,0,0,56.33,44.79,2022-09-23
175,NC,28427,58338.89,4,MORTGAGE,737,745,13,24,0,0,78.11,44.26,2022-01-11
176,AZ,86193,38671.32,6,MORTGAGE,682,690,6,35,0,0,62.94,22.13,2022-10-26
177,FL,34076,29370.45,8,RENT,683,691,19,21,0,0,20.47,22.0,2020-09-03
178,OH,44245,52349.16,6,MORTGAGE,671,679,4,32,1,0,10.52,12.94,2021-07-06
179,NJ,07088,136422.45,5,OWN,592,600,5,15,1,0,16.64,16.65,2022-06-15
180,WI,54203,21508.39,3,MORTGAGE,742,750,7,19,0,0,66.98,10.9,2022-04-29
181,MI,48679,59496.84,8,MORTGAGE,788,796,11,16,1,0,34.28,34.92,2022-12-24
182,TX,79870,43172.53,2,RENT,791,799,18,32,0,0,12.43,20.68,2020-06-12
183,PA,18367,14787.24,8,MORTGAGE,707,715,8,11,0,0,82.38,14.44,2018-11-28
184,FL,34455,9416.27,9,RENT,594,602,11,33,0,0,1.5,40.59,2019-06-09
185,MO,64810,68406.02,5,RENT,700,708,11,29,0,0,75.34,27.73,2023-05-13
186,MO,63705,28052.73,9,MORTGAGE,651,659,5,19,0,0,57.6,39.92,2018-12-25
187,GA,30870,30274.35,2,RENT,608,616,8,16,0,1,38.27,16.85,2022-08-04
188,GA,30865,33623.39,2,MORTGAGE,631,639,6,34,0,1,13.31,12.68,2022-08-30
189,TX,78643,27885.64,10,RENT,685,693,16,26,0,0,24.04,16.05,2019-06-09
190,FL,34170,60168.56,8,MORTGAGE,633,641,17,16,0,0,94.44,20.13,2019-03-28
191,PA,16130,44720.37,1,RENT,767,775,6,14,0,0,17.94,37.4,2020-04-22
192,MO,64696,37297.56,9,MORTGAGE,785,793,11,29,0,2,39.13,24.18,2022-09-08
193,VA,22443,126331.02,7,OWN,723,731,18,39,0,0,17.61,34.19,2018-08-20
194,FL,32392,66492.7,9,MORTGAGE,688,696,12,34,0,0,24.2,36.84,2018-08-21
195,TX,77896,67459.16,9,OWN,748,756,19,28,0,0,60.73,13.99,2018-02-19
196,IL,60657,99240.75,9,RENT,637,645,7,35,0,0,82.41,41.7,2023-08-20
197,OH,44180,53506.74,8,MORTGAGE,718,726,13,14,0,0,83.28,10.13,2023-12-08
198,NY,14460,20278.79,7,RENT,714,722,13,18,0,0,47.77,37.82,2022-06-20
199,MO,63763,44037.94,9,MORTGAGE,701,709,12,33,0,0,49.69,36.48,2023-07-13
200,FL,34725,61888.18,7,MORTGAGE,770,778,16,37,3,0,60.63,43.43,2023-08-18
201,MI,49839,32282.25,9,RENT,688,696,19,12,1,0,93.1,21.49,2022-03-12
202,MA,01182,64216.3,3,MORTGAGE,604,612,7,28,0,0,2.32,35.81,2019-04-30
203,CA,93768,35500.9,1,RENT,743,751,15,23,1,0,37.66,24.82,2020-02-11
204,IL,60245,35564.85,2,MORTGAGE,582,590,11,35,0,1,20.51,34.99,2021-02-20
205,TN,37253,203773.41,0,MORTGAGE,698,706,16,20,0,0,70.68,14.23,2023-04-15
206,MI,48138,153544.31,6,RENT,714,722,8,16,1,0,33.21,22.98,2018-03-22
207,NJ,08307,26699.22,10,MORTGAGE,689,697,5,34,0,0,8.55,41.12,2020-03-04
208,MA,02646,32937.9,1,RENT,779,787,3,13,1,0,73.57,44.59,2021-09-06
209,CA,92428,48122.28,7,RENT,668,676,17,22,0,0,16.12,25.89,2019-05-04
210,GA,30692,52407.78,2,MORTGAGE,639,647,16,35,0,0,81.36,11.14,2023-08-15
211,OH,45181,36495.77,7,MORTGAGE,835,843,16,29,0,0,27.53,13.66,2022-12-12
212,AZ,85050,136757.75,6,MORTGAGE,713,721,18,14,0,0,64.85,29.41,2020-07-28
213,WI,53356,44955.54,2,RENT,821,829,10,19,0,0,78.83,8.47,2023-12-02
214,OH,44545,51185.45,5,RENT,699,707,4,28,2,0,50.22,23.9,2022-05-18
215,TN,37185,79659.52,4,RENT,715,723,15,25,0,0,91.41,25.63,2018-06-24
216,PA,16249,58743.24,1,RENT,713,721,12,10,0,0,69.68,13.68,2023-03-25
217,AZ,85234,44853.48,2,OWN,767,775,12,22,0,0,39.16,42.64,2023-10-21
218,OH,44425,15482.26,5,RENT,674,682,5,32,1,2,21.27,41.23,2022-12-29
219,MD,21709,54290.59,10,MORTGAGE,726,734,7,10,0,0,81.7,28.3,2021-07-27
220,WA,99339,102031.53,8,RENT,625,633,6,19,0,2,93.58,26.14,2019-01-24
221,VA,22624,50738.79,5,OWN,613,621,16,12,0,0,38.79,17.83,2018-05-04
222,PA,15218,28554.92,1,RENT,672,680,10,15,1,0,21.65,18.23,2023-12-27
223,NJ,07608,38920.25,2,RENT,685,693,12,17,0,0,5.22,17.65,2022-05-12
224,MD,21666,44303.06,2,MORTGAGE,705,713,11,28,0,0,6.82,38.95,2020-03-26
225,NY,10081,53870.58,9,MORTGAGE,644,652,18,20,0,0,62.7,12.14,2021-12-26
226,IL,61612,23941.79,5,MORTGAGE,672,680,12,19,0,0,21.32,43.13,2018-11-07
227,FL,34301,37268.88,4,MORTGAGE,756,764,8,26,0,0,77.0,5.74,2022-08-24
228,NY,14720,90645.14,6,MORTGAGE,675,683,14,17,0,0,43.21,24.0,2023-01-09
229,WI,54952,25708.02,2,RENT,718,726,6,28,0,1,90.43,42.03,2020-08-17
230,MI,49063,53551.2,9,MORTGAGE,839,847,6,39,0,0,80.73,43.81,2023-01-22
231,VA,23452,33872.9,2,MORTGAGE,714,722,13,29,0,0,80.65,27.87,2018-11-13
232,TN,38344,47426.61,10,MORTGAGE,708,716,5,31,0,0,20.86,17.49,2020-07-24
233,OH,43109,106521.91,9,MORTGAGE,703,711,19,29,1,0,58.77,13.61,2022-07-14
234,VA,22214,51890.77,10,OWN,607,615,12,14,0,0,32.27,32.72,2019-06-14
235,NJ,07223,50708.4,3,MORTGAGE,787,795,11,10,0,0,42.41,16.4,2019-04-08
236,AZ,86464,41281.94,9,MORTGAGE,592,600,14,24,0,0,65.32,9.64,2021-10-07
237,NC,28590,46482.52,4,RENT,800,808,7,26,0,0,58.37,22.64,2019-07-29
238,GA,31605,77801.36,0,RENT,731,739,10,17,0,0,76.98,9.35,2023-12-10
239,NC,28329,30589.56,5,MORTGAGE,741,749,12,32,0,0,74.37,5.87,2018-12-19
240,NJ,07409,56330.77,8,RENT,582,590,18,18,1,0,88.27,29.05,2020-02-19
241,TX,78396,32875.18,1,MORTGAGE,590,598,3,33,3,0,42.99,26.88,2021-04-26
242,WI,54973,71353.76,10,MORTGAGE,636,644,7,24,0,0,89.81,24.19,2019-02-16
243,FL,34212,32985.39,10,RENT,739,747,11,31,3,0,47.93,21.95,2021-09-02
244,FL,34168,20270.31,9,RENT,641,649,17,21,0,1,17.72,16.18,2020-07-24
245,IN,47888,52483.23,7,OWN,721,729,3,23,0,0,33.75,13.01,2020-05-22
246,MA,02727,154796.55,3,MORTGAGE,721,729,4,35,0,0,85.51,23.66,2020-05-07
247,MD,21814,23509.91,2,MORTGAGE,738,746,3,30,0,0,89.01,9.96,2021-05-23
248,MI,49376,34144.9,10,OWN,708,716,11,20,0,0,50.66,33.54,2019-12-31
249,IN,46955,48078.85,2,RENT,791,799,13,17,0,0,26.02,42.11,2020-10-03
250,MA,02576,34745.75,3,OWN,749,757,10,21,0,0,8.52,12.72,2020-11-16
251,WI,53376,53909.87,10,MORTGAGE,768,776,6,11,0,0,73.52,44.63,2020-12-13
252,NY,10752,71513.56,4,MORTGAGE,671,679,5,33,1,0,88.28,40.82,2022-07-02
253,NC,27480,57182.05,6,OWN,839,847,19,14,1,0,57.23,8.73,2021-01-02
254,NC,27924,30366.89,4,MORTGAGE,627,635,17,11,0,0,37.31,16.04,2022-05-01
255,MD,21127,52287.91,4,MORTGAGE,687,695,17,32,0,0,24.45,40.75,2021-04-25
256,GA,30799,55045.15,5,MORTGAGE,695,703,12,22,1,0,92.13,19.08,2018-08-15
257,TN,37611,30355.0,5,OWN,640,648,19,26,1,0,25.03,10.68,2023-02-23
258,WI,54153,248299.53,7,RENT,601,609,7,11,0,0,6.42,27.55,2019-12-19
259,OH,44675,76030.93,10,RENT,694,702,7,17,0,0,55.83,9.75,2019-09-04
260,NJ,08970,31372.39,1,OWN,682,690,15,39,0,0,45.83,11.25,2019-10-04
261,MO,63740,265027.68,10,RENT,623,631,4,20,0,0,39.54,42.19,2019-07-09
262,CA,93249,59935.57,7,OWN,777,785,13,12,0,0,32.21,15.13,2019-10-01
263,FL,33861,26864.86,9,RENT,669,677,4,24,0,0,51.03,34.94,2020-05-31
264,MI,48325,28039.12,2,MORTGAGE,720,728,14,21,0,0,59.56,19.76,2020-06-19
265,IL,62552,35464.2,3,OWN,723,731,8,18,2,0,86.43,35.87,2022-06-16
266,WI,54617,70721.64,7,OWN,643,651,12,39,0,0,53.39,22.16,2019-02-24
267,MD,20964,46219.44,9,MORTGAGE,817,825,15,27,0,0,80.03,33.94,2022-12-16
268,WI,53918,56420.0,2,MORTGAGE,644,652,5,35,0,0,17.87,27.25,2020-03-13
269,AZ,85175,28167.16,9,RENT,737,745,14,31,0,0,92.35,8.74,2018-06-17
270,NY,13410,21243.29,3,OWN,678,686,14,11,0,0,0.46,17.31,2018-08-27
271,NC,28002,46596.84,4,OWN,685,693,19,36,0,0,40.96,23.87,2022-01-11
272,CA,95182,68224.2,1,OWN,699,707,9,21,0,0,27.31,44.8,2019-07-15
273,MA,02414,16190.79,0,MORTGAGE,756,764,15,38,0,0,24.96,41.77,2021-02-11
274,WA,98173,22768.81,5,MORTGAGE,577,585,10,24,0,0,78.54,12.92,2018-03-20
275,NJ,08828,60949.78,3,RENT,820,828,10,26,0,0,6.57,39.73,2022-10-10
276,NC,27972,37950.46,1,MORTGAGE,673,681,19,35,1,0,2.26,33.95,2021-11-23
277,CA,96079,9343.11,4,RENT,800,808,17,18,0,0,93.96,26.93,2023-12-08
278,WI,54457,80486.47,4,MORTGAGE,826,834,4,36,0,0,25.02,7.07,2018-10-08
279,FL,33704,41679.38,3,MORTGAGE,717,725,9,30,0,0,14.24,23.49,2021-11-25
280,NJ,07177,118416.38,7,MORTGAGE,605,613,19,35,0,0,0.82,10.35,2020-08-27
281,IN,47072,257934.65,7,MORTGAGE,775,783,15,13,0,0,34.12,6.8,2021-05-04
282,MD,21566,79781.06,2,RENT,753,761,9,15,0,0,56.66,44.65,2019-03-19
283,GA,30469,55189.82,2,MORTGAGE,646,654,15,25,0,0,88.53,37.23,2023-11-10
284,WA,98980,26935.11,5,RENT,672,680,18,24,0,0,50.13,21.68,2022-06-13
285,VA,23336,25326.42,8,RENT,831,839,18,35,2,0,6.52,12.92,2023-05-09
286,TN,37031,50290.86,8,MORTGAGE,658,666,18,31,0,0,66.24,35.29,2020-09-18
287,GA,31214,73213.36,7,RENT,577,585,12,21,0,0,51.25,22.49,2020-12-11
288,GA,31967,24442.93,4,RENT,715,723,17,27,0,0,68.42,6.96,2022-03-15
289,IN,47262,29156.59,3,RENT,664,672,16,35,1,0,8.59,9.05,2018-09-20
