perf_id,loan_id,snapshot_date,loan_status,out_prncp,out_prncp_inv,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_fees,last_payment_date,last_payment_amount
23,23,2024-12-31,Current,2953.27,2953.27,18578.3,16790.5,1787.8,0.0,0.0,2024-12-19,599.3
24,24,2024-12-31,Charged Off,15491.96,15491.96,9172.79,4373.59,4799.2,5224.0,417.92,2023-09-13,74.3
25,25,2024-12-31,Fully Paid,0.03,0.03,8391.24,7450.38,940.86,0.0,0.0,2024-01-02,233.09
26,26,2024-12-31,Current,16562.75,16562.75,10223.2,8181.51,2041.69,0.0,0.0,2024-12-07,786.4
27,27,2024-12-31,Charged Off,7871.65,7871.65,3712.96,1971.75,1741.21,2942.69,235.42,2022-11-25,17.63
28,28,2024-12-31,Current,1910.1,1910.1,37503.72,23028.77,14474.95,0.0,0.0,2024-12-03,657.96
29,29,2024-12-31,Current,8692.53,8692.53,13838.76,11296.65,2542.11,0.0,0.0,2024-12-03,384.41
30,30,2024-12-31,Current,20956.39,20956.39,22152.42,18848.13,3304.29,0.0,0.0,2024-12-10,1230.69
31,31,2024-12-31,Current,5092.45,5092.45,3375.32,2246.38,1128.94,0.0,0.0,2024-12-10,259.64
32,32,2024-12-31,Fully Paid,0,0,24132.73,19680.91,4451.82,0.0,0.0,2024-07-10,670.13
33,33,2024-12-31,Current,4289.14,4289.14,20569.71,13348.88,7220.83,0.0,0.0,2024-12-12,419.79
34,34,2024-12-31,Current,6702.0,6702.0,25121.6,17913.17,7208.43,0.0,0.0,2024-12-17,897.2
35,35,2024-12-31,Current,1165.78,1165.78,6320.5,3820.65,2499.85,0.0,0.0,2024-12-17,126.41
36,36,2024-12-31,Current,6299.41,6299.41,4706.16,3475.09,1231.07,0.0,0.0,2024-12-20,196.09
37,37,2024-12-31,Current,4950.81,4950.81,5817.04,5002.98,814.06,0.0,0.0,2024-12-15,306.16
38,38,2024-12-31,Current,5297.5,5297.5,19763.52,14422.84,5340.68,0.0,0.0,2024-12-07,705.84
39,39,2024-12-31,Fully Paid,0,0,21675.45,17679.42,3996.03,0.0,0.0,2024-03-30,601.95
40,40,2024-12-31,Current,1795.09,1795.09,4143.87,3163.89,979.98,0.0,0.0,2024-12-29,101.07
41,41,2024-12-31,Current,938.71,938.71,4833.0,4046.68,786.32,0.0,0.0,2024-12-17,161.1
42,42,2024-12-31,Current,5446.34,5446.34,20443.08,14477.16,5965.92,0.0,0.0,2024-12-31,730.11
43,43,2024-12-31,Fully Paid,0,0,13614.63,9859.83,3754.8,0.0,0.0,2024-01-04,377.98
44,44,2024-12-31,Fully Paid,0.05,0.05,9157.32,7340.96,1816.36,0.0,0.0,2023-05-21,254.37
45,45,2024-12-31,Current,2251.24,2251.24,26005.1,15625.35,10379.75,0.0,0.0,2024-12-25,472.82
46,46,2024-12-31,Current,5889.11,5889.11,1796.08,1549.37,246.71,0.0,0.0,2024-12-03,224.51
47,47,2024-12-31,Current,10694.71,10694.71,2303.68,1076.94,1226.74,0.0,0.0,2024-12-13,287.96
48,48,2024-12-31,Fully Paid,0,0,18018.27,14683.91,3334.36,0.0,0.0,2024-11-28,500.42
49,49,2024-12-31,Charged Off,30007.0,30007.0,9081.16,4550.1,4531.06,8574.63,685.97,2021-08-21,119.89
50,50,2024-12-31,Current,2034.03,2034.03,10081.75,5431.0,4650.75,0.0,0.0,2024-12-19,205.75
51,51,2024-12-31,Current,6159.34,6159.34,4904.25,3668.76,1235.49,0.0,0.0,2024-12-28,326.95
52,52,2024-12-31,Current,4512.95,4512.95,3455.25,2872.73,582.52,0.0,0.0,2024-12-20,230.35
53,53,2024-12-31,Current,5549.27,5549.27,7499.52,4446.97,3052.55,0.0,0.0,2024-12-28,234.36
54,54,2024-12-31,Current,7845.91,7845.91,4770.22,3967.85,802.37,0.0,0.0,2024-12-14,366.94
55,55,2024-12-31,Current,16603.65,16603.65,28516.64,22664.62,5852.02,0.0,0.0,2024-12-04,770.72
56,56,2024-12-31,Fully Paid,0,0,12938.95,11740.78,1198.17,0.0,0.0,2024-05-07,359.25
57,57,2024-12-31,Current,5924.63,5924.63,4475.25,3857.74,617.51,0.0,0.0,2024-12-10,298.35
58,58,2024-12-31,Charged Off,2974.52,2974.52,2271.75,1901.44,370.31,390.56,31.24,2024-06-10,19.43
59,59,2024-12-31,Current,9940.89,9940.89,10272.96,7691.53,2581.43,0.0,0.0,2024-12-04,354.24
60,60,2024-12-31,Fully Paid,0.02,0.02,6213.24,4867.32,1345.92,0.0,0.0,2024-10-13,172.59
61,61,2024-12-31,Current,1625.58,1625.58,13001.96,8314.07,4687.89,0.0,0.0,2024-12-18,245.32
62,62,2024-12-31,Current,6756.51,6756.51,16253.25,12955.96,3297.29,0.0,0.0,2024-12-30,650.13
63,63,2024-12-31,Fully Paid,0,0,37149.33,29920.2,7229.13,0.0,0.0,2024-09-23,1031.78
64,64,2024-12-31,Current,8461.97,8461.97,19109.69,15933.33,3176.36,0.0,0.0,2024-12-04,466.09
65,65,2024-12-31,Current,1542.71,1542.71,17436.65,13078.55,4358.1,0.0,0.0,2024-12-18,317.03
66,66,2024-12-31,Current,8659.12,8659.12,6370.39,3214.09,3156.3,0.0,0.0,2024-12-08,490.03
67,67,2024-12-31,Fully Paid,0,0,22445.14,19805.74,2639.4,0.0,0.0,2024-04-25,623.34
68,68,2024-12-31,Fully Paid,0,0,18169.87,14788.51,3381.36,0.0,0.0,2023-05-01,504.67
69,69,2024-12-31,Current,2625.67,2625.67,5459.52,4715.52,744.0,0.0,0.0,2024-12-05,227.48
70,70,2024-12-31,Fully Paid,0,0,12514.94,9889.54,2625.4,0.0,0.0,2024-01-07,347.54
71,71,2024-12-31,Current,20111.78,20111.78,16071.12,9875.61,6195.51,0.0,0.0,2024-12-16,669.63
72,72,2024-12-31,Current,5929.97,5929.97,24960.96,18813.58,6147.38,0.0,0.0,2024-12-11,520.02
73,73,2024-12-31,Current,5557.0,5557.0,2447.7,1772.3,675.4,0.0,0.0,2024-12-25,244.77
74,74,2024-12-31,Current,14447.92,14447.92,20512.96,10395.2,10117.76,0.0,0.0,2024-12-30,641.03
75,75,2024-12-31,Fully Paid,0.16,0.16,19716.48,14856.82,4859.66,0.0,0.0,2023-05-27,547.68
76,76,2024-12-31,Fully Paid,0,0,28992.95,24944.6,4048.35,0.0,0.0,2024-10-18,805.35
77,77,2024-12-31,Fully Paid,0,0,14233.81,11769.91,2463.9,0.0,0.0,2024-06-28,395.16
78,78,2024-12-31,Current,25997.27,25997.27,27487.62,13215.18,14272.44,0.0,0.0,2024-12-12,1018.06
79,79,2024-12-31,Current,4545.7,4545.7,19815.12,15040.2,4774.92,0.0,0.0,2024-12-08,683.28
80,80,2024-12-31,Current,11914.11,11914.11,7276.1,5983.68,1292.42,0.0,0.0,2024-12-28,559.7
81,81,2024-12-31,Fully Paid,0.06,0.06,11143.08,9766.54,1376.54,0.0,0.0,2023-06-03,309.53
82,82,2024-12-31,Fully Paid,0,0,38272.66,34192.54,4080.12,0.0,0.0,2023-04-12,1063.11
83,83,2024-12-31,Current,9795.57,9795.57,7579.2,5088.33,2490.87,0.0,0.0,2024-12-17,315.8
84,84,2024-12-31,Charged Off,11378.48,11378.48,1020.27,308.63,711.64,3751.72,300.14,2023-10-23,95.55
85,85,2024-12-31,Fully Paid,0,0,23233.85,17650.34,5583.51,0.0,0.0,2024-03-02,645.2
86,86,2024-12-31,Charged Off,10762.68,10762.68,35451.27,23188.6,12262.67,2427.23,194.18,2024-02-21,146.58
87,87,2024-12-31,Current,310.8,310.8,10947.3,9669.19,1278.11,0.0,0.0,2024-12-26,312.78
88,88,2024-12-31,Current,2529.0,2529.0,20669.76,17396.15,3273.61,0.0,0.0,2024-12-22,645.93
89,89,2024-12-31,Current,3498.09,3498.09,23392.6,14072.76,9319.84,0.0,0.0,2024-12-20,754.6
90,90,2024-12-31,Current,11006.18,11006.18,28541.33,13732.96,14808.37,0.0,0.0,2024-12-10,696.13
91,91,2024-12-31,Current,7384.62,7384.62,19824.48,17298.32,2526.16,0.0,0.0,2024-12-07,762.48
92,92,2024-12-31,Charged Off,10078.4,10078.4,4390.12,1845.07,2545.05,2472.31,197.78,2023-07-24,138.24
93,93,2024-12-31,Fully Paid,0,0,16743.14,14938.35,1804.79,0.0,0.0,2023-06-28,464.99
94,94,2024-12-31,Current,6486.45,6486.45,4706.24,3342.11,1364.13,0.0,0.0,2024-12-06,336.16
95,95,2024-12-31,Current,10262.64,10262.64,9801.0,4377.49,5423.51,0.0,0.0,2024-12-08,392.04
96,96,2024-12-31,Current,3624.44,3624.44,8441.9,6220.86,2221.04,0.0,0.0,2024-12-23,205.9
97,97,2024-12-31,Fully Paid,0,0,11622.05,9815.48,1806.57,0.0,0.0,2023-02-11,322.65
98,98,2024-12-31,Current,1326.76,1326.76,19107.76,13465.53,5642.23,0.0,0.0,2024-12-28,341.21
99,99,2024-12-31,Fully Paid,0,0,13117.64,11881.7,1235.94,0.0,0.0,2023-03-25,364.34
100,100,2024-12-31,Current,7454.46,7454.46,3999.38,2457.45,1541.93,0.0,0.0,2024-12-09,363.58
101,101,2024-12-31,Fully Paid,0.19,0.19,8557.56,7380.83,1176.73,0.0,0.0,2023-10-03,237.71
102,102,2024-12-31,Fully Paid,0,0,31130.09,24315.19,6814.9,0.0,0.0,2024-11-26,864.54
103,103,2024-12-31,Current,4863.77,4863.77,11213.67,4995.46,6218.21,0.0,0.0,2024-12-16,287.53
104,104,2024-12-31,Charged Off,12799.01,12799.01,18401.8,11840.42,6561.38,2495.48,199.64,2022-03-22,442.66
105,105,2024-12-31,Current,3291.26,3291.26,2665.2,1578.52,1086.68,0.0,0.0,2024-12-29,111.05
106,106,2024-12-31,Fully Paid,0,0,23220.61,19793.46,3427.15,0.0,0.0,2023-10-17,644.91
107,107,2024-12-31,Current,1362.58,1362.58,8931.41,6119.47,2811.94,0.0,0.0,2024-12-23,288.11
108,108,2024-12-31,Current,8652.43,8652.43,7318.56,6285.08,1033.48,0.0,0.0,2024-12-16,457.41
109,109,2024-12-31,Current,2134.87,2134.87,4938.72,2855.05,2083.67,0.0,0.0,2024-12-25,205.78
110,110,2024-12-31,Current,15710.23,15710.23,10519.88,9223.08,1296.8,0.0,0.0,2024-12-18,751.42
111,111,2024-12-31,Current,9406.21,9406.21,3710.34,2499.82,1210.52,0.0,0.0,2024-12-02,412.26
112,112,2024-12-31,Current,1355.67,1355.67,10537.46,8482.1,2055.36,0.0,0.0,2024-12-21,198.82
113,113,2024-12-31,Current,4832.28,4832.28,30991.32,24556.1,6435.22,0.0,0.0,2024-12-26,999.72
114,114,2024-12-31,Current,4441.55,4441.55,22695.9,19875.83,2820.07,0.0,0.0,2024-12-15,756.53
115,115,2024-12-31,Current,14847.1,14847.1,5431.76,3052.47,2379.29,0.0,0.0,2024-12-20,678.97
116,116,2024-12-31,Current,7659.78,7659.78,27769.74,17126.89,10642.85,0.0,0.0,2024-12-16,603.69
117,117,2024-12-31,Charged Off,2842.57,2842.57,12582.52,8800.36,3782.16,556.16,44.49,2024-02-11,162.53
118,118,2024-12-31,Current,13682.4,13682.4,7326.18,4217.99,3108.19,0.0,0.0,2024-12-04,407.01
119,119,2024-12-31,Current,14538.88,14538.88,4012.89,2969.17,1043.72,0.0,0.0,2024-12-23,573.27
120,120,2024-12-31,Current,9519.25,9519.25,4078.8,2232.59,1846.21,0.0,0.0,2024-12-19,271.92
121,121,2024-12-31,Current,3571.97,3571.97,2121.2,1373.64,747.56,0.0,0.0,2024-12-02,106.06
122,122,2024-12-31,Fully Paid,0,0,22114.04,19646.09,2467.95,0.0,0.0,2024-03-05,614.24
123,123,2024-12-31,Current,5734.35,5734.35,7663.0,6216.27,1446.73,0.0,0.0,2024-12-25,383.15
124,124,2024-12-31,Current,9518.03,9518.03,4109.7,2206.94,1902.76,0.0,0.0,2024-12-14,273.98
125,125,2024-12-31,Current,7235.54,7235.54,10426.78,7607.24,2819.54,0.0,0.0,2024-12-02,306.67
126,126,2024-12-31,Fully Paid,0.15,0.15,13447.8,11964.63,1483.17,0.0,0.0,2024-12-19,373.55
127,127,2024-12-31,Fully Paid,0,0,6994.39,4970.14,2024.25,0.0,0.0,2023-04-18,194.24
128,128,2024-12-31,Current,3733.46,3733.46,5160.0,3763.15,1396.85,0.0,0.0,2024-12-22,258.0
129,129,2024-12-31,Current,11630.94,11630.94,25550.4,17943.76,7606.64,0.0,0.0,2024-12-11,1064.6
130,130,2024-12-31,Current,5408.33,5408.33,5159.33,4306.53,852.8,0.0,0.0,2024-12-05,303.49
131,131,2024-12-31,Current,8825.91,8825.91,1739.2,1003.13,736.07,0.0,0.0,2024-12-03,217.4
132,132,2024-12-31,Current,6292.89,6292.89,6654.42,5655.42,999.0,0.0,0.0,2024-12-30,369.69
133,133,2024-12-31,Fully Paid,0.03,0.03,21947.4,19847.08,2100.32,0.0,0.0,2024-03-15,609.65
134,134,2024-12-31,Current,11009.72,11009.72,19873.68,6846.28,13027.4,0.0,0.0,2024-12-25,584.52
135,135,2024-12-31,Fully Paid,0,0,17964.21,14660.73,3303.48,0.0,0.0,2023-04-13,498.86
136,136,2024-12-31,Current,6978.42,6978.42,5999.76,3006.73,2993.03,0.0,0.0,2024-12-09,249.99
137,137,2024-12-31,Fully Paid,0,0,32047.66,24665.01,7382.65,0.0,0.0,2023-04-02,889.96
138,138,2024-12-31,Charged Off,3116.12,3116.12,10680.74,8660.32,2020.42,440.92,35.27,2024-09-17,74.88
139,139,2024-12-31,Current,6879.05,6879.05,23982.1,17887.28,6094.82,0.0,0.0,2024-12-01,521.35
140,140,2024-12-31,Fully Paid,0,0,43785.97,39613.44,4172.53,0.0,0.0,2023-06-05,1216.17
141,141,2024-12-31,Current,2463.59,2463.59,9268.87,7519.78,1749.09,0.0,0.0,2024-12-19,197.21
142,142,2024-12-31,Fully Paid,0.16,0.16,16487.28,14907.26,1580.02,0.0,0.0,2023-08-08,457.98
143,143,2024-12-31,Charged Off,7118.81,7118.81,9644.8,7492.41,2152.39,1735.16,138.81,2021-10-31,137.39
144,144,2024-12-31,Current,9144.61,9144.61,3465.18,2570.04,895.14,0.0,0.0,2024-12-16,385.02
145,145,2024-12-31,Fully Paid,0,0,16443.54,11897.3,4546.24,0.0,0.0,2024-12-25,456.59
146,146,2024-12-31,Current,7907.01,7907.01,2665.44,1822.13,843.31,0.0,0.0,2024-12-28,333.18
147,147,2024-12-31,Fully Paid,337.07,337.07,11949.7,9460.64,2489.06,0.0,0.0,2024-12-12,341.42
148,148,2024-12-31,Current,4230.13,4230.13,24568.23,20729.47,3838.76,0.0,0.0,2024-12-07,481.73
149,149,2024-12-31,Fully Paid,0.12,0.12,20659.32,17610.18,3049.14,0.0,0.0,2024-04-01,573.87
150,150,2024-12-31,Current,2822.32,2822.32,10121.44,8968.27,1153.17,0.0,0.0,2024-12-16,361.48
151,151,2024-12-31,Fully Paid,0.19,0.19,7370.64,4989.99,2380.65,0.0,0.0,2024-09-13,204.74
152,152,2024-12-31,Current,1865.98,1865.98,12480.52,10066.38,2414.14,0.0,0.0,2024-12-11,240.01
153,153,2024-12-31,Current,5401.33,5401.33,27537.6,24454.89,3082.71,0.0,0.0,2024-12-22,917.92
154,154,2024-12-31,Current,18970.15,18970.15,29580.18,20793.04,8787.14,0.0,0.0,2024-12-11,1408.58
155,155,2024-12-31,Current,4869.44,4869.44,9322.82,7029.26,2293.56,0.0,0.0,2024-12-15,405.34
156,156,2024-12-31,Current,3562.82,3562.82,18123.9,16310.46,1813.44,0.0,0.0,2024-12-30,604.13
157,157,2024-12-31,Fully Paid,247.94,247.94,14881.57,9556.2,5325.37,0.0,0.0,2024-12-06,252.23
158,158,2024-12-31,Current,3929.35,3929.35,1289.52,938.98,350.54,0.0,0.0,2024-12-18,161.19
159,159,2024-12-31,Current,7110.4,7110.4,4094.64,2880.48,1214.16,0.0,0.0,2024-12-10,341.22
160,160,2024-12-31,Fully Paid,0,0,11761.52,9880.36,1881.16,0.0,0.0,2023-10-29,326.67
161,161,2024-12-31,Current,12325.3,12325.3,3285.15,2227.77,1057.38,0.0,0.0,2024-12-16,298.65
162,162,2024-12-31,Fully Paid,0,0,30343.59,24834.28,5509.31,0.0,0.0,2023-05-01,842.79
163,163,2024-12-31,Fully Paid,0.03,0.03,12748.68,9762.92,2985.76,0.0,0.0,2024-12-17,354.13
164,164,2024-12-31,Fully Paid,0.25,0.25,13968.0,9968.06,3999.94,0.0,0.0,2024-11-15,388.0
165,165,2024-12-31,Fully Paid,406.75,406.75,24260.21,17495.51,6764.7,0.0,0.0,2024-12-02,411.19
166,166,2024-12-31,Current,3791.45,3791.45,3476.45,1202.32,2274.13,0.0,0.0,2024-12-08,151.15
167,167,2024-12-31,Fully Paid,0,0,39738.79,34160.15,5578.64,0.0,0.0,2023-02-24,1103.69
168,168,2024-12-31,Current,8350.43,8350.43,9596.16,6379.74,3216.42,0.0,0.0,2024-12-14,533.12
169,169,2024-12-31,Current,9501.87,9501.87,10738.39,5486.08,5252.31,0.0,0.0,2024-12-18,631.67
170,170,2024-12-31,Fully Paid,0.04,0.04,15012.0,11922.92,3089.08,0.0,0.0,2023-03-08,417.0
171,171,2024-12-31,Fully Paid,0,0,21777.66,19690.7,2086.96,0.0,0.0,2024-04-08,604.76
172,172,2024-12-31,Current,10315.7,10315.7,10559.64,4637.63,5922.01,0.0,0.0,2024-12-05,406.14
173,173,2024-12-31,Current,2495.21,2495.21,14503.89,12158.69,2345.2,0.0,0.0,2024-12-30,284.39
174,174,2024-12-31,Fully Paid,0,0,11351.86,9983.17,1368.69,0.0,0.0,2024-12-18,315.31
175,175,2024-12-31,Charged Off,16036.16,16036.16,29693.61,18095.84,11597.77,3585.03,286.8,2023-04-04,108.08
176,176,2024-12-31,Current,10829.26,10829.26,5494.5,3883.76,1610.74,0.0,0.0,2024-12-12,499.5
177,177,2024-12-31,Fully Paid,0,0,19129.09,14783.95,4345.14,0.0,0.0,2023-09-26,531.14
178,178,2024-12-31,Current,970.57,970.57,16773.9,13592.36,3181.54,0.0,0.0,2024-12-22,493.35
179,179,2024-12-31,Current,16150.27,16150.27,4286.16,1667.66,2618.5,0.0,0.0,2024-12-31,476.24
180,180,2024-12-31,Fully Paid,0,0,8594.11,7451.43,1142.68,0.0,0.0,2024-06-28,238.56
181,181,2024-12-31,Current,2611.91,2611.91,9655.52,7369.47,2286.05,0.0,0.0,2024-12-12,344.84
182,182,2024-12-31,Fully Paid,0.09,0.09,13141.8,9865.96,3275.84,0.0,0.0,2024-06-28,365.05
183,183,2024-12-31,Current,14141.75,14141.75,5497.74,3835.88,1661.86,0.0,0.0,2024-12-22,610.86
184,184,2024-12-31,Current,12100.01,12100.01,7584.3,2879.99,4704.31,0.0,0.0,2024-12-10,421.35
185,185,2024-12-31,Current,13383.09,13383.09,7109.76,6124.35,985.41,0.0,0.0,2024-12-09,592.48
186,186,2024-12-31,Current,12098.14,12098.14,5122.8,2888.25,2234.55,0.0,0.0,2024-12-05,341.52
187,187,2024-12-31,Charged Off,2807.15,2807.15,2790.38,2071.27,719.11,306.91,24.55,2021-09-07,79.02
188,188,2024-12-31,Fully Paid,0.0,0.0,23955.48,17976.83,5978.65,0.0,0.0,2023-02-20,665.43
189,189,2024-12-31,Current,2310.18,2310.18,14690.9,12335.92,2354.98,0.0,0.0,2024-12-02,473.9
190,190,2024-12-31,Current,7913.16,7913.16,11773.65,9653.23,2120.42,0.0,0.0,2024-12-23,560.65
191,191,2024-12-31,Current,1299.09,1299.09,18682.16,13395.99,5286.17,0.0,0.0,2024-12-16,333.61
192,192,2024-12-31,Current,6571.1,6571.1,9586.92,8381.67,1205.25,0.0,0.0,2024-12-05,456.52
193,193,2024-12-31,Fully Paid,0.01,0.01,12987.72,9922.6,3065.12,0.0,0.0,2023-02-27,360.77
194,194,2024-12-31,Current,4378.39,4378.39,23451.3,15541.12,7910.18,0.0,0.0,2024-12-23,781.71
195,195,2024-12-31,Current,15914.5,15914.5,11021.9,3893.05,7128.85,0.0,0.0,2024-12-16,580.1
196,196,2024-12-31,Current,2900.05,2900.05,10435.6,9093.76,1341.84,0.0,0.0,2024-12-12,372.7
197,197,2024-12-31,Current,4966.34,4966.34,5864.35,4969.17,895.18,0.0,0.0,2024-12-26,308.65
198,198,2024-12-31,Current,12854.97,12854.97,3703.59,2090.04,1613.55,0.0,0.0,2024-12-08,336.69
199,199,2024-12-31,Fully Paid,0,0,19851.82,14793.51,5058.31,0.0,0.0,2024-10-07,551.42
200,200,2024-12-31,Fully Paid,0.1,0.1,15894.0,14603.72,1290.28,0.0,0.0,2024-01-31,441.5
201,201,2024-12-31,Current,8939.63,8939.63,6768.45,5798.27,970.18,0.0,0.0,2024-12-19,451.23
202,202,2024-12-31,Fully Paid,0,0,26566.18,19761.84,6804.34,0.0,0.0,2024-07-31,737.93
203,203,2024-12-31,Current,7156.79,7156.79,17911.6,7550.95,10360.65,0.0,0.0,2024-12-16,447.79
204,204,2024-12-31,Current,11487.93,11487.93,4393.8,3187.42,1206.38,0.0,0.0,2024-12-26,488.2
205,205,2024-12-31,Charged Off,12318.47,12318.47,3550.75,2376.58,1174.17,4039.51,323.16,2023-08-16,107.93
206,206,2024-12-31,Current,5229.62,5229.62,6705.28,4694.17,2011.11,0.0,0.0,2024-12-18,209.54
207,207,2024-12-31,Current,3078.67,3078.67,2898.72,1846.7,1052.02,0.0,0.0,2024-12-07,181.17
208,208,2024-12-31,Current,3009.86,3009.86,6753.84,4378.78,2375.06,0.0,0.0,2024-12-17,281.41
209,209,2024-12-31,Current,3912.17,3912.17,11523.14,6001.63,5521.51,0.0,0.0,2024-12-23,267.98
210,210,2024-12-31,Current,17997.52,17997.52,20755.28,6379.09,14376.19,0.0,0.0,2024-12-06,798.28
211,211,2024-12-31,Current,17625.38,17625.38,10094.04,7201.09,2892.95,0.0,0.0,2024-12-23,841.17
212,212,2024-12-31,Current,5425.12,5425.12,2705.45,1995.94,709.51,0.0,0.0,2024-12-15,245.95
213,213,2024-12-31,Charged Off,21751.27,21751.27,16456.83,7695.31,8761.52,7586.82,606.95,2023-05-01,256.96
214,214,2024-12-31,Fully Paid,1115.29,1115.29,39744.95,28647.37,11097.58,0.0,0.0,2024-12-06,1135.57
215,215,2024-12-31,Current,19707.07,19707.07,8500.14,4603.04,3897.1,0.0,0.0,2024-12-31,944.46
216,216,2024-12-31,Fully Paid,0,0,20504.5,17892.79,2611.71,0.0,0.0,2023-04-12,569.55
217,217,2024-12-31,Current,4201.83,4201.83,15971.48,10643.41,5328.07,0.0,0.0,2024-12-07,570.41
218,218,2024-12-31,Current,10477.38,10477.38,28400.84,23782.79,4618.05,0.0,0.0,2024-12-16,1092.34
219,219,2024-12-31,Current,10580.44,10580.44,2800.71,1096.7,1704.01,0.0,0.0,2024-12-18,311.19
220,220,2024-12-31,Current,6702.64,6702.64,10111.85,7887.9,2223.95,0.0,0.0,2024-12-01,288.91
221,221,2024-12-31,Charged Off,5124.5,5124.5,12002.64,6624.32,5378.32,1895.37,151.63,2023-11-03,29.0
222,222,2024-12-31,Current,3860.05,3860.05,24469.54,20987.58,3481.96,0.0,0.0,2024-12-19,789.34
223,223,2024-12-31,Current,7655.53,7655.53,2847.51,2207.08,640.43,0.0,0.0,2024-12-18,316.39
224,224,2024-12-31,Fully Paid,0.19,0.19,27703.44,24615.29,3088.15,0.0,0.0,2023-09-06,769.54
225,225,2024-12-31,Charged Off,12412.19,12412.19,3497.83,2467.08,1030.75,2058.39,164.67,2021-08-18,244.28
226,226,2024-12-31,Current,21016.21,21016.21,6552.48,3937.17,2615.31,0.0,0.0,2024-12-20,546.04
227,227,2024-12-31,Current,13045.21,13045.21,8337.6,4481.01,3856.59,0.0,0.0,2024-12-23,694.8
228,228,2024-12-31,Charged Off,11630.31,11630.31,6584.22,3280.82,3303.4,3363.65,269.09,2023-09-09,168.55
229,229,2024-12-31,Current,8041.6,8041.6,24203.41,11504.49,12698.92,0.0,0.0,2024-12-27,562.87
230,230,2024-12-31,Charged Off,18858.99,18858.99,3892.92,909.14,2983.78,7512.51,601.0,2024-05-18,34.91
231,231,2024-12-31,Fully Paid,0.16,0.16,22700.88,19519.7,3181.18,0.0,0.0,2024-03-31,630.58
232,232,2024-12-31,Current,4797.87,4797.87,28638.03,20088.15,8549.88,0.0,0.0,2024-12-14,561.53
233,233,2024-12-31,Current,11301.13,11301.13,5208.46,3593.52,1614.94,0.0,0.0,2024-12-16,306.38
234,234,2024-12-31,Current,14386.73,14386.73,5956.65,3550.94,2405.71,0.0,0.0,2024-12-24,397.11
235,235,2024-12-31,Charged Off,19366.4,19366.4,19881.44,9893.06,9988.38,3590.53,287.24,2022-07-27,549.55
236,236,2024-12-31,Current,22256.22,22256.22,9995.5,6902.51,3092.99,0.0,0.0,2024-12-27,999.55
237,237,2024-12-31,Fully Paid,0.06,0.06,16726.68,14886.27,1840.41,0.0,0.0,2023-09-09,464.63
