pull_id,borrower_id,loan_id,pull_date,bureau,fico_score,inquiries_6m,mths_since_last_delinq
73,2367,73,2024-02-25,Experian,636,4,
74,1364,74,2022-04-30,Equifax,630,0,
75,11762,75,2020-05-27,TransUnion,826,0,35
76,14121,76,2021-10-18,TransUnion,736,1,6
77,530,77,2021-06-28,Experian,731,2,
78,10886,78,2022-09-12,Experian,616,3,
79,4864,79,2022-07-08,Experian,685,1,24
80,11072,80,2023-11-28,Experian,671,2,
81,1947,81,2020-06-03,TransUnion,749,3,
82,7922,82,2020-04-12,Equifax,665,2,55
83,3559,83,2022-12-17,Experian,582,0,
84,1035,84,2023-06-23,TransUnion,641,3,
85,4244,85,2021-03-02,Experian,742,4,48
86,128,86,2021-10-21,Experian,584,2,42
87,12535,87,2022-01-26,Experian,671,5,
88,5967,88,2022-04-22,TransUnion,655,5,
89,12514,89,2022-05-20,TransUnion,640,1,
90,10830,90,2021-07-10,Equifax,633,2,33
91,2474,91,2022-10-07,Experian,585,1,12
92,2547,92,2022-04-24,Equifax,709,5,
93,11856,93,2020-06-28,TransUnion,806,2,
94,10199,94,2023-10-06,Experian,821,0,15
95,14283,95,2022-11-08,Experian,735,4,
96,4436,96,2021-07-23,TransUnion,719,1,23
97,9730,97,2020-02-11,TransUnion,590,4,
98,3442,98,2020-04-28,Equifax,831,5,42
99,12583,99,2020-03-25,Experian,700,3,
100,14136,100,2024-01-09,Experian,699,1,9
101,11603,101,2020-10-03,Equifax,644,4,
102,12637,102,2021-11-26,TransUnion,664,0,5
103,4595,103,2021-09-16,Experian,701,1,
104,2261,104,2020-06-22,TransUnion,809,0,70
105,12050,105,2022-12-29,TransUnion,635,3,
106,3569,106,2020-10-17,Equifax,702,5,29
107,12122,107,2022-05-23,Experian,690,0,
108,13554,108,2023-08-16,Equifax,602,3,23
109,13081,109,2022-12-25,Experian,743,2,
110,12127,110,2023-10-18,Experian,699,3,
111,6246,111,2024-03-02,TransUnion,734,3,51
112,10850,112,2020-07-21,Equifax,717,0,
113,474,113,2022-05-26,Equifax,739,0,
114,6324,114,2022-06-15,Equifax,749,2,
115,14197,115,2024-04-20,Equifax,780,1,68
116,12087,116,2021-02-16,Equifax,740,5,70
117,14297,117,2021-08-11,Equifax,597,2,
118,4809,118,2023-06-04,Experian,641,2,
119,2440,119,2024-05-23,Experian,615,4,
120,931,120,2023-09-19,Experian,658,2,32
121,9621,121,2023-04-02,TransUnion,704,4,17
122,4327,122,2021-03-05,TransUnion,827,3,
123,14675,123,2023-04-25,Experian,655,2,
124,9494,124,2023-09-14,TransUnion,706,1,67
125,13437,125,2022-02-02,TransUnion,698,0,
126,7459,126,2021-12-19,TransUnion,708,5,51
127,5364,127,2020-04-18,Experian,726,2,49
128,14719,128,2023-04-22,Equifax,788,2,
129,1393,129,2022-12-11,Equifax,703,2,
130,5999,130,2023-07-05,TransUnion,718,1,
131,13635,131,2024-04-03,Equifax,636,5,48
132,9729,132,2023-06-30,Experian,760,4,17
133,14561,133,2021-03-15,Experian,670,2,
134,2708,134,2022-02-25,Experian,807,2,
135,9029,135,2020-04-13,Experian,710,5,59
136,12418,136,2022-12-09,TransUnion,738,2,
137,13532,137,2020-04-02,TransUnion,756,5,
138,7408,138,2020-10-17,TransUnion,643,4,
139,6680,139,2021-02-01,Experian,741,4,
140,11809,140,2020-06-05,TransUnion,640,0,
141,4409,141,2021-01-19,Equifax,617,4,
142,10973,142,2020-08-08,Experian,592,5,
143,4024,143,2020-01-31,Equifax,663,2,
144,4951,144,2024-03-16,TransUnion,660,5,35
145,78,145,2021-12-25,Experian,715,2,
146,14958,146,2024-04-28,Experian,640,0,
147,9323,147,2022-01-12,Equifax,694,5,
148,13082,148,2020-09-07,Equifax,673,2,50
149,2547,149,2021-04-01,Experian,709,4,43
150,8665,150,2022-08-16,Experian,740,5,23
151,9415,151,2021-09-13,TransUnion,592,2,
152,1131,152,2020-08-11,Experian,588,1,47
153,10906,153,2022-06-22,Experian,730,0,
154,7815,154,2023-03-11,TransUnion,661,2,
155,13577,155,2023-01-15,Equifax,722,2,28
156,802,156,2022-06-30,Equifax,718,1,
157,4110,157,2020-01-06,TransUnion,738,4,
158,1773,158,2024-04-18,Experian,743,5,
159,7540,159,2023-12-10,TransUnion,694,4,
160,4964,160,2020-10-29,Experian,754,4,
161,13882,161,2024-01-16,Experian,752,5,16
162,11476,162,2020-05-01,Equifax,708,0,
163,8478,163,2021-12-17,Equifax,598,2,13
164,6024,164,2021-11-15,TransUnion,672,2,46
165,9987,165,2020-01-02,Equifax,722,2,
166,4961,166,2023-01-08,Equifax,777,2,10
167,1636,167,2020-02-24,TransUnion,612,4,
168,7490,168,2023-06-14,Equifax,631,0,
169,9850,169,2023-07-18,TransUnion,590,4,
170,13939,170,2020-03-08,Experian,617,3,
171,4217,171,2021-04-08,TransUnion,774,3,65
172,6798,172,2022-10-05,Equifax,740,1,
173,8400,173,2020-09-30,TransUnion,705,0,
174,791,174,2021-12-18,Equifax,712,3,71
175,12540,175,2020-02-04,Equifax,771,4,70
176,5485,176,2024-01-12,Experian,802,2,68
177,4502,177,2020-09-26,Experian,623,1,57
178,89,178,2022-02-22,Experian,737,5,
179,5249,179,2024-03-31,Equifax,731,3,26
180,5117,180,2021-06-28,TransUnion,809,1,
181,3461,181,2022-08-12,Equifax,632,4,59
182,4586,182,2021-06-28,TransUnion,584,0,
183,8049,183,2024-03-22,Experian,719,5,27
184,2301,184,2023-06-10,Equifax,731,3,25
185,12319,185,2023-12-09,Equifax,638,1,
186,10059,186,2023-09-05,Experian,674,5,
187,2335,187,2020-03-07,TransUnion,589,3,
188,8875,188,2020-02-20,Experian,694,1,
189,4660,189,2022-05-02,TransUnion,658,3,48
190,859,190,2023-03-23,TransUnion,736,0,
191,14102,191,2020-04-16,Experian,635,0,28
192,11542,192,2023-03-05,TransUnion,722,4,
193,11253,193,2020-02-27,Experian,609,4,57
194,5796,194,2022-06-23,Equifax,685,1,34
195,6200,195,2023-05-16,TransUnion,742,0,
196,10643,196,2022-08-12,Experian,693,2,
197,11472,197,2023-05-26,Experian,695,2,
198,471,198,2024-01-08,Experian,756,1,20
199,14758,199,2021-10-07,Experian,760,2,55
200,8615,200,2021-01-31,TransUnion,823,1,
201,5129,201,2023-09-19,Equifax,716,4,
202,13406,202,2021-07-31,Experian,703,0,
203,10090,203,2021-08-16,TransUnion,711,4,13
204,10158,204,2024-03-26,TransUnion,730,0,
205,3266,205,2022-12-16,Experian,733,4,
206,10818,206,2022-04-18,TransUnion,747,1,66
207,3039,207,2023-08-07,TransUnion,701,2,15
208,7289,208,2022-12-17,Equifax,608,2,56
209,14751,209,2021-05-23,TransUnion,639,3,13
210,6665,210,2022-10-06,Experian,712,4,
211,6307,211,2023-12-23,Experian,796,1,
212,11368,212,2024-01-15,TransUnion,698,0,
213,6422,213,2022-03-01,Experian,748,5,11
214,14098,214,2022-01-06,Experian,668,2,16
215,13347,215,2024-03-31,Experian,616,5,50
216,8182,216,2020-04-12,TransUnion,708,5,
217,14824,217,2022-08-07,Experian,646,4,66
218,6102,218,2022-10-16,TransUnion,611,4,
219,8230,219,2024-03-18,Equifax,692,2,42
220,9088,220,2022-01-01,TransUnion,647,1,
221,6706,221,2021-10-03,TransUnion,795,0,47
222,1727,222,2022-05-19,Equifax,736,0,
223,308,223,2024-03-18,TransUnion,799,4,43
224,9619,224,2020-09-06,Experian,778,0,
225,177,225,2020-12-18,TransUnion,687,0,
226,6696,226,2023-12-20,TransUnion,702,5,41
227,31,227,2023-12-23,Experian,658,4,
228,13199,228,2022-02-09,Equifax,760,3,
229,3337,229,2021-05-27,Experian,762,3,25
230,7757,230,2023-10-18,Equifax,737,2,
231,7400,231,2021-03-31,TransUnion,723,4,35
232,13800,232,2020-09-14,Equifax,737,5,
233,7675,233,2023-07-16,TransUnion,635,4,
234,1137,234,2023-09-24,Experian,736,0,
235,13559,235,2021-02-27,Equifax,649,3,
236,8526,236,2024-02-27,TransUnion,774,2,
237,7845,237,2020-09-09,TransUnion,842,1,
238,5586,238,2023-12-14,Equifax,723,2,6
239,3695,239,2022-04-14,TransUnion,597,2,51
240,6101,240,2022-11-08,Experian,653,4,
241,2597,241,2021-01-16,TransUnion,663,5,31
242,7818,242,2022-08-14,Experian,722,0,59
243,12360,243,2022-12-18,Equifax,750,1,12
244,12125,244,2024-01-11,Experian,651,0,7
245,9562,245,2022-11-25,Equifax,622,1,62
246,5552,246,2023-10-18,Experian,748,3,
247,6945,247,2020-12-29,Equifax,657,4,
248,5515,248,2021-01-05,Equifax,696,0,40
249,8399,249,2023-11-13,Equifax,682,1,
250,13689,250,2023-05-19,TransUnion,591,2,
251,1492,251,2020-06-03,TransUnion,740,3,61
252,9573,252,2021-02-06,TransUnion,643,1,
253,5540,253,2021-01-25,TransUnion,727,4,33
254,1476,254,2021-09-18,TransUnion,672,0,37
255,8322,255,2021-10-10,TransUnion,818,1,5
256,1572,256,2021-09-08,Equifax,644,5,
257,11882,257,2023-07-24,TransUnion,680,1,30
258,4601,258,2022-03-21,TransUnion,698,1,
259,13753,259,2021-11-19,Equifax,663,3,
260,10387,260,2020-02-28,Equifax,675,1,
261,12440,261,2023-08-15,Experian,667,1,
262,5646,262,2022-02-18,TransUnion,629,5,
263,1081,263,2024-03-17,TransUnion,720,5,
264,8093,264,2023-05-30,Experian,652,5,53
265,6352,265,2022-12-25,TransUnion,738,2,66
266,3402,266,2023-02-13,Equifax,649,4,62
267,2317,267,2023-06-15,TransUnion,849,5,16
268,10155,268,2020-10-30,Experian,744,0,14
269,6531,269,2020-03-23,TransUnion,793,2,
270,787,270,2020-02-04,Experian,800,1,14
271,12227,271,2020-01-31,TransUnion,691,3,
272,9879,272,2024-02-16,TransUnion,705,0,10
273,7127,273,2022-04-27,Experian,604,5,24
274,8578,274,2023-10-08,TransUnion,654,2,
275,367,275,2023-07-07,TransUnion,842,0,
276,762,276,2023-03-15,TransUnion,613,3,
277,4418,277,2022-01-29,Experian,813,2,54
278,2373,278,2022-07-22,TransUnion,726,1,
279,12892,279,2022-07-05,Equifax,769,2,
280,2552,280,2023-11-09,TransUnion,614,5,
281,3999,281,2023-03-02,TransUnion,673,0,7
282,14093,282,2024-04-02,TransUnion,780,3,27
283,5119,283,2024-01-15,Experian,775,3,
284,13395,284,2021-06-02,TransUnion,726,1,
285,5084,285,2023-04-20,Equifax,595,0,65
286,4356,286,2020-11-22,Experian,822,2,58
287,9310,287,2021-12-22,Experian,734,4,
288,5876,288,2024-03-06,Equifax,698,4,63
289,2193,289,2020-11-26,TransUnion,707,4,
290,4572,290,2020-03-04,Equifax,786,2,19
291,4114,291,2023-04-04,TransUnion,651,5,54
292,11664,292,2023-02-06,TransUnion,637,0,
293,3110,293,2022-06-30,Experian,656,4,34
294,5971,294,2022-07-19,Experian,591,2,
295,6070,295,2021-01-22,Experian,749,4,
296,14757,296,2023-12-14,Equifax,740,1,
297,3396,297,2022-09-11,Experian,755,3,
298,10634,298,2020-11-13,TransUnion,737,2,
299,13251,299,2020-11-05,TransUnion,808,4,
300,6382,300,2022-08-06,Equifax,707,3,25
301,8465,301,2021-06-22,TransUnion,726,3,43
302,3860,302,2020-10-14,Equifax,774,2,
303,10599,303,2023-01-04,TransUnion,625,1,
304,10837,304,2021-03-18,Experian,743,0,
305,7186,305,2023-04-19,Experian,603,5,
306,10157,306,2020-01-10,Equifax,830,1,
307,12053,307,2021-11-05,Equifax,773,4,5
308,8079,308,2022-05-12,TransUnion,774,1,
309,11870,309,2020-03-09,Experian,690,4,
310,11313,310,2023-02-13,TransUnion,733,5,5
311,1345,311,2020-01-08,TransUnion,595,2,
312,6584,312,2021-09-11,Experian,598,0,
313,4358,313,2022-11-12,Experian,704,2,
314,13895,314,2024-03-15,Equifax,693,1,57
315,6236,315,2021-06-29,TransUnion,764,3,6
316,13001,316,2022-09-22,TransUnion,798,3,
317,12054,317,2022-05-06,TransUnion,584,1,
318,11403,318,2021-06-12,Experian,657,1,
319,2537,319,2022-02-01,Equifax,655,0,49
320,7011,320,2020-10-13,Equifax,681,4,
321,13568,321,2023-08-19,TransUnion,697,3,
322,2338,322,2023-03-19,Equifax,706,3,
323,1951,323,2024-01-31,TransUnion,754,3,4
324,6696,324,2022-06-16,Experian,702,4,11
325,13817,325,2023-12-06,Experian,641,4,
326,7065,326,2022-11-06,Experian,699,0,
327,2556,327,2020-01-27,TransUnion,596,5,
328,9040,328,2022-08-14,TransUnion,644,1,55
329,11583,329,2024-02-21,Experian,580,1,21
330,5733,330,2020-03-11,Experian,844,2,
331,10191,331,2020-04-28,TransUnion,740,4,
332,2732,332,2023-07-31,Equifax,725,3,21
333,11615,333,2022-09-09,Equifax,810,5,6
334,1376,334,2020-08-10,TransUnion,631,2,68
335,887,335,2022-12-11,Experian,818,2,35
336,5458,336,2022-06-05,Experian,724,5,
337,13927,337,2022-06-03,Experian,705,0,62
338,13512,338,2021-09-30,Equifax,618,1,
339,3261,339,2021-06-16,TransUnion,612,5,
340,8923,340,2023-06-18,TransUnion,725,0,
341,13758,341,2020-01-02,Equifax,712,5,
342,8788,342,2021-12-02,Equifax,736,3,
343,13129,343,2020-03-31,TransUnion,718,3,
344,3823,344,2021-06-17,Equifax,833,3,8
345,9254,345,2023-06-01,Equifax,609,1,20
346,13550,346,2022-09-27,TransUnion,716,3,39
347,14569,347,2024-05-25,Experian,722,2,61
348,3709,348,2021-05-20,TransUnion,661,1,
349,8293,349,2023-04-09,TransUnion,705,3,47
350,12773,350,2024-01-31,Experian,825,2,45
351,292,351,2022-04-23,Equifax,694,1,22
352,10183,352,2021-05-09,Experian,750,4,19
353,12601,353,2022-08-01,TransUnion,715,4,56
354,7441,354,2022-06-20,Equifax,666,2,68
355,8463,355,2023-06-06,Equifax,675,1,
356,9196,356,2023-07-31,Experian,747,0,
357,5397,357,2023-03-12,Equifax,719,1,52
358,1244,358,2022-10-23,TransUnion,707,0,31
359,8005,359,2023-05-14,Experian,738,3,
360,1040,360,2020-03-17,Experian,719,2,
361,13474,361,2020-03-30,TransUnion,713,4,
362,12993,362,2021-09-27,Equifax,736,5,
363,5144,363,2020-11-11,Experian,630,5,
364,9215,364,2022-06-12,Experian,607,1,33
365,10022,365,2024-05-23,Experian,706,5,
366,14711,366,2024-04-10,Equifax,679,4,68
367,12281,367,2020-08-19,TransUnion,675,5,
368,8720,368,2020-04-12,Experian,759,1,5
369,14997,369,2024-02-06,Equifax,707,0,64
370,13118,370,2024-03-21,Experian,758,1,
371,2363,371,2022-08-22,Equifax,659,0,34
372,13421,372,2021-12-01,Equifax,638,1,
373,5011,373,2024-04-21,Experian,748,3,42
374,154,374,2022-03-13,Experian,616,2,
375,1606,375,2023-09-04,Experian,661,1,
376,2426,376,2022-09-09,Equifax,639,2,
377,10094,377,2023-03-03,Equifax,638,5,11
378,10511,378,2023-03-23,Experian,766,3,
379,1181,379,2021-07-16,Experian,816,0,
380,4161,380,2021-06-17,TransUnion,691,4,
381,7167,381,2023-08-21,Experian,678,2,
382,388,382,2023-05-02,Equifax,595,1,
383,7009,383,2022-06-02,Experian,591,0,21
384,5026,384,2021-10-02,Experian,738,4,
385,9217,385,2021-12-29,Experian,837,0,
386,1487,386,2022-02-05,TransUnion,663,2,30
387,6663,387,2021-01-02,Equifax,644,5,
388,5986,388,2022-09-13,TransUnion,690,0,
389,14606,389,2020-11-14,Experian,736,1,
390,12670,390,2022-10-19,TransUnion,789,4,
391,3206,391,2022-05-07,TransUnion,719,4,60
392,2798,392,2020-03-26,Equifax,691,5,24
393,5851,393,2020-07-30,Experian,713,0,22
394,3305,394,2022-08-20,Equifax,685,3,
395,5293,395,2021-08-15,Experian,617,4,
396,1763,396,2023-03-18,TransUnion,671,2,
397,9176,397,2024-04-03,Experian,583,1,
398,11279,398,2023-11-22,TransUnion,595,0,56
399,3526,399,2021-10-21,TransUnion,744,1,
400,3440,400,2023-07-19,Equifax,744,0,
401,13004,401,2023-12-30,Equifax,697,1,
402,6984,402,2021-04-04,TransUnion,584,1,
403,11483,403,2024-03-26,TransUnion,594,0,
404,12235,404,2020-06-01,Experian,825,2,33
405,2476,405,2022-11-02,TransUnion,711,0,
406,4416,406,2024-03-30,Experian,715,4,50
407,4448,407,2024-04-16,Equifax,748,1,
408,14262,408,2024-03-28,Equifax,700,1,18
409,4050,409,2020-08-19,Equifax,748,2,
410,2486,410,2021-10-07,Experian,712,0,54
411,6626,411,2022-09-21,Experian,691,5,
412,2207,412,2021-03-24,TransUnion,816,3,
413,3591,413,2020-05-29,Equifax,666,0,
414,77,414,2023-07-02,Experian,826,4,
415,10852,415,2020-02-22,Experian,730,1,
416,448,416,2024-01-05,TransUnion,709,0,
417,10972,417,2021-06-18,TransUnion,830,3,63
418,1723,418,2022-06-26,Experian,625,2,10
419,7665,419,2021-08-25,Equifax,823,3,
420,14284,420,2021-05-10,Experian,621,1,
421,4753,421,2021-05-09,TransUnion,672,3,47
422,5457,422,2024-02-08,Equifax,643,3,18
423,11801,423,2020-03-01,Experian,767,2,59
424,736,424,2020-03-26,Experian,798,3,
425,8182,425,2020-05-21,Equifax,708,2,
426,2617,426,2020-06-05,Experian,607,3,
427,4618,427,2021-10-20,TransUnion,696,4,
428,12685,428,2022-06-25,TransUnion,839,5,10
429,6665,429,2022-05-11,TransUnion,712,2,
430,6930,430,2021-02-07,Experian,678,1,22
431,7802,431,2023-04-17,Experian,661,2,
432,10224,432,2021-12-22,Experian,622,3,38
433,10689,433,2022-03-29,Equifax,745,1,
434,14043,434,2022-09-16,TransUnion,683,0,66
435,14399,435,2020-01-01,Experian,582,2,
436,12193,436,2021-05-22,Equifax,724,0,
437,11189,437,2022-11-24,Experian,775,4,
438,7330,438,2020-03-22,Equifax,683,4,
439,13564,439,2020-07-03,TransUnion,686,2,
440,10655,440,2024-04-12,Experian,716,2,
441,6501,441,2024-02-22,Equifax,793,1,
442,461,442,2021-10-22,Equifax,745,3,
443,8741,443,2021-12-28,Experian,587,5,57
444,10115,444,2022-01-08,Equifax,719,0,19
445,1170,445,2020-04-08,Experian,795,2,
446,4532,446,2022-08-23,Equifax,674,4,
447,14285,447,2021-04-02,Experian,690,1,
448,3242,448,2024-05-05,TransUnion,729,1,
449,8029,449,2021-11-03,Equifax,667,1,
450,9730,450,2020-10-02,TransUnion,590,5,43
451,6193,451,2022-04-30,Experian,680,3,
452,13533,452,2023-11-27,Equifax,661,5,
453,8160,453,2023-04-10,Equifax,693,1,
454,1415,454,2020-08-12,Experian,707,3,40
455,3018,455,2022-03-13,Experian,668,2,58
456,6775,456,2021-02-14,Equifax,704,4,
457,11105,457,2020-02-05,TransUnion,735,5,10
458,4284,458,2021-09-08,TransUnion,590,2,67
459,7325,459,2020-10-16,TransUnion,693,2,
460,8850,460,2024-01-10,Experian,828,0,
461,12880,461,2021-01-27,TransUnion,691,3,
462,12257,462,2024-03-04,TransUnion,709,4,
463,13924,463,2021-12-28,Equifax,690,0,
464,11202,464,2023-12-08,Experian,663,4,63
465,8026,465,2023-07-27,TransUnion,820,0,34
466,8879,466,2021-05-21,TransUnion,673,2,
467,13216,467,2024-03-29,Experian,805,4,32
468,11392,468,2022-05-25,Experian,746,5,
469,1098,469,2021-01-10,Equifax,678,1,
470,10429,470,2022-05-02,Experian,659,5,
471,6862,471,2020-11-04,Experian,692,4,
472,7012,472,2021-03-25,Experian,774,3,19
473,13151,473,2020-10-07,Experian,692,5,
474,9194,474,2020-10-30,Equifax,610,3,
475,6152,475,2020-09-27,TransUnion,640,4,
476,12285,476,2021-12-30,TransUnion,773,1,50
477,4117,477,2022-01-03,Experian,819,4,
478,4716,478,2020-05-05,Experian,744,3,
479,2426,479,2021-11-27,Experian,639,5,
480,3582,480,2022-09-08,TransUnion,597,4,
481,791,481,2020-07-02,TransUnion,712,2,55
482,11794,482,2022-08-12,TransUnion,715,4,29
483,9433,483,2021-02-16,Experian,850,1,
484,10314,484,2021-10-05,TransUnion,788,5,
485,47,485,2020-09-23,Equifax,690,3,
486,2175,486,2021-02-10,TransUnion,681,2,52
487,5407,487,2021-11-22,TransUnion,610,3,
488,9619,488,2023-07-22,TransUnion,778,2,39
489,6481,489,2020-11-12,Equifax,749,5,34
490,5678,490,2022-08-03,TransUnion,707,5,
491,11064,491,2021-03-19,TransUnion,678,4,70
492,41,492,2022-05-26,TransUnion,583,1,
493,1404,493,2020-09-08,Equifax,673,2,54
494,12618,494,2022-07-29,TransUnion,678,4,
495,14001,495,2022-09-02,TransUnion,655,3,
496,2578,496,2023-06-15,Equifax,770,4,38
497,8317,497,2023-05-23,TransUnion,704,2,
498,10914,498,2022-07-08,TransUnion,792,2,27
499,10701,499,2022-02-26,TransUnion,677,1,
500,12259,500,2022-04-04,Equifax,748,0,
501,3408,501,2024-04-01,Experian,638,3,22
502,899,502,2024-02-21,Equifax,655,4,
503,5340,503,2021-02-08,Experian,667,3,
504,3591,504,2022-07-28,Equifax,666,1,
505,9851,505,2024-01-09,Experian,722,1,9
506,6172,506,2022-10-27,Equifax,781,2,
507,12134,507,2022-07-10,Experian,841,0,62
508,13877,508,2020-02-15,TransUnion,835,2,66
509,14266,509,2023-07-08,Experian,726,4,49
510,2578,510,2022-11-14,Experian,770,1,
511,1228,511,2021-12-16,Equifax,769,1,
512,9404,512,2021-10-30,Experian,611,4,
513,5439,513,2023-08-22,Equifax,591,3,
514,4960,514,2023-07-30,Experian,701,1,
515,8388,515,2021-07-04,Experian,769,0,
516,5635,516,2023-09-04,Equifax,828,0,27
517,9983,517,2020-01-05,Experian,719,2,44
518,10412,518,2020-01-09,TransUnion,629,0,
519,1144,519,2020-03-23,TransUnion,677,5,
520,7347,520,2021-05-19,Equifax,697,2,
521,3818,521,2021-12-10,Equifax,592,2,64
522,10249,522,2023-12-20,TransUnion,686,2,47
523,2990,523,2023-07-20,Experian,664,3,
524,1335,524,2023-07-27,Equifax,769,0,18
525,13311,525,2023-06-05,Equifax,654,3,11
526,376,526,2024-05-12,Experian,820,0,
527,2902,527,2024-04-16,Equifax,663,0,51
528,11552,528,2021-03-01,Equifax,718,2,17
529,13720,529,2021-04-24,Experian,741,0,
530,3343,530,2021-10-23,Experian,727,4,
531,12362,531,2024-02-29,TransUnion,769,0,
532,13120,532,2023-10-29,Equifax,630,1,22
533,4062,533,2020-03-24,Equifax,674,4,6
534,6967,534,2020-02-13,TransUnion,761,5,35
535,316,535,2021-12-02,Equifax,744,4,36
536,9123,536,2021-06-01,Experian,834,3,
537,12428,537,2022-03-21,Equifax,737,3,71
538,4921,538,2022-11-21,Equifax,650,0,
539,1369,539,2023-05-12,Equifax,716,5,15
540,10545,540,2023-11-24,Experian,686,3,31
541,6347,541,2020-12-12,Equifax,738,1,50
542,12813,542,2024-05-22,TransUnion,740,4,35
543,11769,543,2023-12-23,TransUnion,596,2,10
544,8369,544,2023-09-13,TransUnion,581,4,55
545,9805,545,2023-10-05,Equifax,600,5,
546,9153,546,2023-08-06,Equifax,746,2,
547,9031,547,2023-02-05,Experian,678,2,
548,10610,548,2021-11-22,Equifax,737,3,
549,5860,549,2022-06-23,Equifax,762,3,60
550,14398,550,2024-05-13,TransUnion,731,2,
551,14768,551,2024-05-12,Experian,709,3,
552,6763,552,2022-09-22,TransUnion,749,4,8
553,11837,553,2022-06-22,Equifax,681,3,
554,13815,554,2021-11-26,Experian,715,0,
555,6673,555,2023-10-21,Equifax,593,0,
556,6525,556,2023-07-07,Experian,785,4,57
557,7786,557,2023-01-12,TransUnion,694,0,54
558,14288,558,2020-10-08,Equifax,689,2,
559,12464,559,2024-02-23,Equifax,585,1,
560,10746,560,2023-08-01,Equifax,712,5,32
561,2280,561,2023-12-31,TransUnion,677,2,
562,10272,562,2022-02-06,Experian,727,3,
563,11802,563,2020-12-05,Equifax,657,3,49
564,11777,564,2020-04-08,Experian,706,4,
565,408,565,2020-05-12,TransUnion,708,2,
566,131,566,2023-12-31,TransUnion,845,4,
567,12396,567,2022-10-23,Experian,647,4,
568,8544,568,2021-04-22,Equifax,615,3,37
569,1187,569,2021-04-05,Equifax,725,1,
570,4807,570,2021-02-09,Equifax,700,3,8
571,8277,571,2020-08-15,Experian,703,5,59
